Ticker,Sector,Date,Close,Annualized_Return_1Y,Annualized_Vol_252D,Beta_IHSG,Sharpe_Ratio,Max_Drawdown_1Y,GARCH_Vol,VaR_95_1D,VaR_99_1D,ES_95_1D,GARCH_Model,Pivot_Point,Support_1,Resistance_1,PE_Ratio,PB_Ratio,ROE,Dividend_Yield,Debt_to_Equity,Current_Ratio
AADI.JK,General,2026-09-18,11975.0,0.8677881559864489,0.43521326806379645,1.0,1.8560700217393566,-0.33404710939776566,0.4246,4.03,7.06,6.04,garch-t,12358.333333333334,12241.666666666668,12491.666666666668,6.5316877,2.7978973000000003,0.23297001,8.36,0.25672,2.593
ACES.JK,Consumer Cyclicals,2026-09-18,350.0,-0.12830814878501795,0.27478557061679054,1.0,-0.6852887619738415,-0.5262924935846962,0.2213,2.19,3.83,3.29,garch-t,350.0,348.0,354.0,7.8422585,0.9415562,0.121199995,9.09,0.15331,4.945
ADMR.JK,General,2026-09-18,1590.0,0.593909280427533,0.6192875881210816,1.0,0.8621332455800791,-0.411879909637613,0.4953,4.94,8.33,7.16,garch-t,1555.0,1520.0,1605.0,11.962083,4.184210500000001,0.17246,3.18,1.03461,1.583
ADRO.JK,Energy,2026-09-18,2640.0,0.7011079955901676,0.3833995674430554,1.0,1.672162354546823,-0.3268710992720908,0.3739,3.41,6.2,5.28,garch-t,2653.3333333333335,2606.666666666667,2716.666666666667,7.3964086,1.65,0.123380005,8.96,0.3782399999999999,2.918
AKRA.JK,Energy,2026-09-18,1470.0,0.2783243732811116,0.3815698877127553,1.0,0.5721725118753429,-0.28685086225266854,0.3206,2.95,5.33,4.54,garch-t,1468.3333333333333,1461.6666666666665,1476.6666666666665,10.67228,2.2460887,0.19524999,6.8,0.3332699999999999,1.326
AMMN.JK,Basic Materials,2026-09-18,4680.0,-0.42043343653250775,0.7261931560866727,1.0,-0.6615771175046017,-0.6704545454544693,0.6494,5.98,10.68,9.1,garch-t,4990.0,4780.0,5110.0,32.572384,6.157895,0.10484,,1.16552,2.622
AMRT.JK,Consumer Non-Cyclicals,2026-09-18,1300.0,-0.35554930108965876,0.47956970517232156,1.0,-0.8665026796003765,-0.5552788249751367,0.3399,3.24,5.68,4.85,garch-t,1315.0,1305.0,1335.0,15.105741,3.000958,0.20027,3.19,0.14109,1.036
ANTM.JK,Basic Materials,2026-09-18,3340.0,-0.00709804593263097,0.545956410721431,1.0,-0.12289978048648018,-0.4684874150785499,0.3454,3.58,5.06,4.49,ewma_unhealthy_guard,3253.3333333333335,3216.666666666667,3316.666666666667,9.0170355,2.153548,0.26827,6.29,0.15598,1.991
ASII.JK,Consumer Cyclicals,2026-09-18,4820.0,-0.0506176146278996,0.40565244268136436,1.0,-0.27268994414719744,-0.381061005203265,0.2816,2.77,4.71,4.04,garch-t,4893.333333333333,4866.666666666666,4926.666666666666,6.514658,0.83633834,0.11983,8.09,0.41125,1.187
ASSA.JK,Transportation & Logistics,2026-09-18,595.0,-0.24319448121238185,0.482122660792008,1.0,-0.628872851239679,-0.5856573705174387,0.3567,3.56,6.08,5.22,garch-t,603.3333333333334,591.6666666666667,616.6666666666667,5.313449,0.97140473,0.18163,8.4,1.29162,0.986
AUTO.JK,Industrials,2026-09-18,3360.0,0.5356236351001473,0.30873395541512616,1.0,1.5405564765435196,-0.1583132920839407,0.2371,2.46,3.47,3.08,ewma_unhealthy_guard,3326.6666666666665,3303.333333333333,3343.333333333333,6.7068543,1.0127312,0.15295,6.82,0.03433,2.025
BBCA.JK,Financials,2026-09-18,6300.0,-0.16938545764045443,0.3397450569203787,1.0,-0.6751673874296418,-0.4746618959734947,0.2357,2.36,3.81,3.29,garch-t,6358.333333333333,6316.666666666666,6391.666666666666,13.351135,2.8616698,0.21818,6.05,,
BBNI.JK,Financials,2026-09-18,3650.0,-0.05128303080753771,0.3307795702035214,1.0,-0.3364255365394283,-0.2936733459217966,0.3093,2.97,5.12,4.38,garch-t,3743.3333333333335,3716.666666666667,3766.666666666667,6.574563,0.8273155,0.1245,9.57,,
BBRI.JK,Financials,2026-09-18,3310.0,-0.06240024254374388,0.31004235521503576,1.0,-0.3947842793110375,-0.3570253500856998,0.286,2.86,4.53,3.92,garch-t,3336.6666666666665,3313.333333333333,3353.333333333333,8.130081,1.5493281,0.18988001,12.63,,
BBTN.JK,Financials,2026-09-18,1170.0,-0.0859375,0.4262385623847294,1.0,-0.34238375054513337,-0.2953020134226206,0.2764,2.86,4.05,3.59,ewma_unhealthy_guard,1173.3333333333333,1161.6666666666665,1181.6666666666665,3.9261744,0.4372011,0.117419995,3.98,,
BIRD.JK,Transportation & Logistics,2026-09-18,1610.0,-0.0022655152390470557,0.2212195648177731,1.0,-0.28146350358673605,-0.30999996750131825,0.1117,1.16,1.64,1.45,ewma_unhealthy_guard,1606.6666666666667,1603.3333333333335,1613.3333333333335,6.4935064,0.65892065,0.10248999,10.31,0.35027,1.145
BJBR.JK,General,2026-09-18,755.0,0.07714188262107835,0.2097112059646759,1.0,0.08174003292858283,-0.17648748733336236,0.4522,4.25,7.58,6.48,garch-t,793.3333333333334,791.6666666666667,796.6666666666667,5.5065274,0.49137202,0.0938,11.33,,
BJTM.JK,General,2026-09-18,520.0,0.11894048641592003,0.16350194267130994,1.0,0.36048578363759565,-0.09880126417124262,0.1182,1.17,1.92,1.65,garch-t,521.6666666666666,518.3333333333333,523.3333333333333,4.982752,0.5991501,0.11266,10.89,,
BMRI.JK,Financials,2026-09-18,4260.0,0.07000500326141013,0.3144795640631277,1.0,0.03181437711807767,-0.40168457059843593,0.2848,2.77,4.56,3.92,garch-t,4333.333333333333,4316.666666666666,4366.666666666666,6.385658,1.3970809,0.22378999,12.75,,
BREN.JK,Infrastructures,2026-09-18,3180.0,-0.630839386020164,0.7013951676288694,1.0,-0.9849489032077355,-0.7672371469564941,0.4604,4.77,6.75,5.98,ewma_unhealthy_guard,3086.6666666666665,3043.333333333333,3123.333333333333,156.26535,63.6,0.21476999,13.0,2.23239,1.63
BRIS.JK,Financials,2026-09-18,1610.0,-0.3972821139142435,0.393947132245082,1.0,-1.1607673104279637,-0.4518386620534231,0.3178,2.93,5.44,4.66,garch-t,1658.3333333333333,1626.6666666666665,1676.6666666666665,9.302056,1.4550779,0.16148001,2.04,,
BRPT.JK,Basic Materials,2026-09-18,1610.0,-0.2503399557153826,0.8686873198319928,1.0,-0.35725121269663596,-0.7079439399099673,0.4175,4.33,6.12,5.43,ewma_unhealthy_guard,1626.6666666666667,1583.3333333333335,1653.3333333333335,60.594658,6.1923074,0.0646,10.0,1.33059,2.18
BSDE.JK,Properties & Real Estate,2026-09-18,605.0,-0.4598214285714286,0.3792747254381399,1.0,-1.370563402049868,-0.5384615384610782,0.3707,3.71,6.13,5.27,garch-t,640.0,630.0,650.0,6.797753,0.28230265,0.041500002,,0.35164,3.556
BUKA.JK,Technology,2026-09-18,104.0,-0.4057142857142857,0.44293392724957376,1.0,-1.0514282280834377,-0.512820512817883,0.4042,3.99,6.94,5.96,garch-t,104.66666666666667,102.33333333333334,107.33333333333334,5.667575,0.39306986,0.078200005,,0.00436,42.869
CPIN.JK,Consumer Non-Cyclicals,2026-09-18,3150.0,-0.27076681731291274,0.40272462451642616,1.0,-0.8213205149537774,-0.40721160300981996,0.3319,3.26,5.58,4.79,garch-t,3120.0,3090.0,3150.0,6.9395485,1.4801686,0.22792,5.71,0.2821099999999999,2.681
CTRA.JK,Properties & Real Estate,2026-09-18,570.0,-0.3662219010574098,0.33483906491070925,1.0,-1.2729118935366026,-0.5069767348834499,0.402,4.09,6.45,5.59,garch-t,600.0,590.0,605.0,4.1911764,0.43126473,0.100430004,6.32,0.29003,2.285
EMTK.JK,Technology,2026-09-18,468.0,-0.6366376632478932,0.6660699793539567,1.0,-1.0458910308982146,-0.6970045714191784,0.4925,4.97,8.52,7.33,garch-t,490.0,486.0,498.0,12.738159,0.78176683,0.07585,2.14,0.06298,4.837
