,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,887896.470143,246857.029957,-556265.06863,6808291.417377,
Tax Rate For Calcs,0.200202,0.212808,0.201911,0.367519,
Normalized EBITDA,623925000.0,856024000.0,886295000.0,4539285000.0,
Total Unusual Items,4435000.0,1160000.0,-2755000.0,18525000.0,
Total Unusual Items Excluding Goodwill,4435000.0,1160000.0,-2755000.0,18525000.0,
Net Income From Continuing Operation Net Minority Interest,447694000.0,461365000.0,439865000.0,2493080000.0,
Reconciled Depreciation,4085000.0,3591000.0,4893000.0,6847000.0,
Reconciled Cost Of Revenue,1236892000.0,1204690000.0,1267731000.0,3449427000.0,
EBITDA,628360000.0,857184000.0,883540000.0,4557810000.0,
EBIT,624275000.0,853593000.0,878647000.0,4550963000.0,
Net Interest Income,79029000.0,65820000.0,1594000.0,-41667000.0,
Interest Expense,11814000.0,43773000.0,60059000.0,74744000.0,
Interest Income,97461000.0,118218000.0,65965000.0,47397000.0,
Normalized Income,444146896.470143,460451857.029957,442063734.93137,2481363291.417377,
Net Income From Continuing And Discontinued Operation,447694000.0,1380013000.0,1641437000.0,2493080000.0,
Total Expenses,1344041000.0,1345047000.0,1361676000.0,3825401000.0,
Total Operating Income As Reported,517575000.0,711401000.0,764935000.0,4308347000.0,
Diluted Average Shares,29337589000.0,30731355000.0,30917363000.0,31037420000.0,
Basic Average Shares,29337589000.0,30731355000.0,30917363000.0,31037420000.0,
Diluted EPS,0.01526,0.04491,0.05309,0.08032,
Basic EPS,0.01526,0.04491,0.05309,0.08032,
Diluted NI Availto Com Stockholders,447694000.0,1380013000.0,1641437000.0,2493080000.0,
Net Income Common Stockholders,447694000.0,1380013000.0,1641437000.0,2493080000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,447694000.0,1380013000.0,1641437000.0,2493080000.0,
Minority Interests,-42151000.0,-176119000.0,-213441000.0,-338043000.0,
Net Income Including Noncontrolling Interests,489845000.0,1556132000.0,1854878000.0,2831123000.0,
Net Income Discontinuous Operations,0.0,918648000.0,1201572000.0,,
Net Income Continuous Operations,489845000.0,637484000.0,653306000.0,2831123000.0,
Tax Provision,122616000.0,172336000.0,165282000.0,1645096000.0,
Pretax Income,612461000.0,809820000.0,818588000.0,4476219000.0,
Other Non Operating Income Expenses,-5410000.0,-9920000.0,7412000.0,-14759000.0,
Special Income Charges,-312000.0,1160000.0,-2755000.0,-4752000.0,
Other Special Charges,312000.0,-1160000.0,2755000.0,4752000.0,
Write Off,,,,0.0,60003000.0
Impairment Of Capital Assets,,,,0.0,968000.0
Net Non Operating Interest Income Expense,79029000.0,65820000.0,1594000.0,-41667000.0,
Total Other Finance Cost,6618000.0,8625000.0,4312000.0,14320000.0,
Interest Expense Non Operating,11814000.0,43773000.0,60059000.0,74744000.0,
Interest Income Non Operating,97461000.0,118218000.0,65965000.0,47397000.0,
Operating Income,529487000.0,733642000.0,773736000.0,4276998000.0,
Operating Expense,107149000.0,140357000.0,93945000.0,375974000.0,
Other Operating Expenses,,823000.0,-27408000.0,70487000.0,10472000.0
Depreciation And Amortization In Income Statement,4085000.0,3591000.0,4893000.0,6847000.0,
Depreciation Income Statement,4085000.0,3591000.0,4893000.0,6847000.0,
Selling General And Administration,43379000.0,59016000.0,46211000.0,217860000.0,
Selling And Marketing Expense,5579000.0,10038000.0,13760000.0,125084000.0,
General And Administrative Expense,37800000.0,48978000.0,32451000.0,92776000.0,
Gross Profit,636636000.0,873999000.0,867681000.0,4652972000.0,
Cost Of Revenue,1236892000.0,1204690000.0,1267731000.0,3449427000.0,
Total Revenue,1873528000.0,2078689000.0,2135412000.0,8102399000.0,
Operating Revenue,1873528000.0,2078689000.0,2135412000.0,8102399000.0,
