,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,11212974716.0899,8605321533.279247,7682247911.71757,10561615112.920893,
Tax Rate For Calcs,0.188469,0.197424,0.186422,0.184847,
Normalized EBITDA,8964392000000.0,8284448000000.0,8060557000000.0,6935671000000.0,
Total Unusual Items,59495000000.0,43588000000.0,41209000000.0,57137000000.0,
Total Unusual Items Excluding Goodwill,59495000000.0,43588000000.0,41209000000.0,57137000000.0,
Net Income From Continuing Operation Net Minority Interest,3410889000000.0,3148107000000.0,3403657000000.0,2855284000000.0,
Reconciled Depreciation,4501264000000.0,4187983000000.0,3656876000000.0,3242786000000.0,
Reconciled Cost Of Revenue,98981004000000.0,92861550000000.0,83878566000000.0,76902242000000.0,
EBITDA,9023887000000.0,8328036000000.0,8101766000000.0,6992808000000.0,
EBIT,4522623000000.0,4140053000000.0,4444890000000.0,3750022000000.0,
Net Interest Income,10509000000.0,-18889000000.0,-87476000000.0,-145140000000.0,
Interest Expense,137344000000.0,127868000000.0,162543000000.0,183233000000.0,
Interest Income,147853000000.0,108979000000.0,75067000000.0,38093000000.0,
Normalized Income,3362606974716.09,3113124321533.2793,3370130247911.718,2808708615112.921,
Net Income From Continuing And Discontinued Operation,3410889000000.0,3148107000000.0,3403657000000.0,2855284000000.0,
Total Expenses,123508508000000.0,115372116000000.0,103747484000000.0,94201026000000.0,
Rent Expense Supplemental,702481000000.0,609062000000.0,494412000000.0,416617000000.0,
Total Operating Income As Reported,4562395000000.0,4078527000000.0,4429298000000.0,3770188000000.0,
Diluted Average Shares,41517239879.0,41524501700.0,41524501700.0,41524501700.0,
Basic Average Shares,41517239879.0,41524501700.0,41524501700.0,41524501700.0,
Diluted EPS,82.16,75.81,81.97,68.76,
Basic EPS,82.16,75.81,81.97,68.76,
Diluted NI Availto Com Stockholders,3410889000000.0,3148107000000.0,3403657000000.0,2855284000000.0,
Net Income Common Stockholders,3410889000000.0,3148107000000.0,3403657000000.0,2855284000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,3410889000000.0,3148107000000.0,3403657000000.0,2855284000000.0,
Minority Interests,-147900000000.0,-71976000000.0,-80368000000.0,-52194000000.0,
Net Income Including Noncontrolling Interests,3558789000000.0,3220083000000.0,3484025000000.0,2907478000000.0,
Net Income Continuous Operations,3558789000000.0,3220083000000.0,3484025000000.0,2907478000000.0,
Tax Provision,826490000000.0,792102000000.0,798322000000.0,659311000000.0,
Pretax Income,4385279000000.0,4012185000000.0,4282347000000.0,3566789000000.0,
Other Non Operating Income Expenses,1220441000000.0,1126146000000.0,1140716000000.0,938957000000.0,
Special Income Charges,59495000000.0,43588000000.0,41209000000.0,57137000000.0,
Other Special Charges,-59495000000.0,-43588000000.0,-41209000000.0,-57137000000.0,
Net Non Operating Interest Income Expense,10509000000.0,-18889000000.0,-87476000000.0,-145140000000.0,
Total Other Finance Cost,,,,,27381000000.0
Interest Expense Non Operating,137344000000.0,127868000000.0,162543000000.0,183233000000.0,
Interest Income Non Operating,147853000000.0,108979000000.0,75067000000.0,38093000000.0,
Operating Income,3228743000000.0,2854915000000.0,3197199000000.0,2723660000000.0,
Operating Expense,24527504000000.0,22510566000000.0,19868918000000.0,17298784000000.0,
Other Operating Expenses,707714000000.0,675969000000.0,526488000000.0,432865000000.0,
Depreciation And Amortization In Income Statement,4501264000000.0,4187983000000.0,3656876000000.0,3242786000000.0,
Depreciation Income Statement,4501264000000.0,4187983000000.0,3656876000000.0,3242786000000.0,
Selling General And Administration,5659152000000.0,5381398000000.0,4568113000000.0,4002004000000.0,
Selling And Marketing Expense,4766173000000.0,4501031000000.0,3812168000000.0,3294752000000.0,
General And Administrative Expense,892979000000.0,880367000000.0,755945000000.0,707252000000.0,
Rent And Landing Fees,702481000000.0,609062000000.0,494412000000.0,416617000000.0,
Gross Profit,27756247000000.0,25365481000000.0,23066117000000.0,20022444000000.0,
Cost Of Revenue,98981004000000.0,92861550000000.0,83878566000000.0,76902242000000.0,
Total Revenue,126737251000000.0,118227031000000.0,106944683000000.0,96924686000000.0,
Operating Revenue,126737251000000.0,118227031000000.0,106944683000000.0,96924686000000.0,
