,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,399016020417.91394,-62692538607.77698,84247848325.10526,-284139299026.74536,
Tax Rate For Calcs,0.18741,0.165038,0.20154,0.267281,
Normalized EBITDA,7864569000000.0,5269436000000.0,3746885000000.0,6574599000000.0,
Total Unusual Items,2129104000000.0,-379868000000.0,418020000000.0,-1063075000000.0,
Total Unusual Items Excluding Goodwill,2129104000000.0,-379868000000.0,418020000000.0,-1063075000000.0,
Net Income From Continuing Operation Net Minority Interest,7208834000000.0,3647210000000.0,3077646000000.0,3820965000000.0,
Reconciled Depreciation,168095000000.0,146558000000.0,128846000000.0,130183000000.0,
Reconciled Cost Of Revenue,70961090000000.0,62694143000000.0,34733015000000.0,37719837000000.0,
EBITDA,9993673000000.0,4889568000000.0,4164905000000.0,5511524000000.0,
EBIT,9825578000000.0,4743010000000.0,4036059000000.0,5381341000000.0,
Net Interest Income,326750000000.0,351623000000.0,-51102000000.0,-92830000000.0,
Interest Expense,78451000000.0,129367000000.0,181578000000.0,166570000000.0,
Interest Income,414393000000.0,491014000000.0,171368000000.0,74315000000.0,
Normalized Income,5478746020417.914,3964385461392.223,2743873848325.1055,4599900700973.255,
Net Income From Continuing And Discontinued Operation,7208834000000.0,3647210000000.0,3077646000000.0,3820965000000.0,
Total Expenses,77667378000000.0,65682791000000.0,38350241000000.0,40896902000000.0,
Rent Expense Supplemental,251156000000.0,220286000000.0,364187000000.0,302782000000.0,
Total Operating Income As Reported,8395030000000.0,2997953000000.0,2616894000000.0,3941871000000.0,
Diluted Average Shares,24030765000.0,24030765000.0,24030765000.0,24030765000.0,
Basic Average Shares,24030765000.0,24030765000.0,24030765000.0,24030765000.0,
Diluted EPS,299.98,151.77,128.07,159.0,
Basic EPS,299.98,151.77,128.07,159.0,
Diluted NI Availto Com Stockholders,7208834000000.0,3647210000000.0,3077646000000.0,3820965000000.0,
Net Income Common Stockholders,7208834000000.0,3647210000000.0,3077646000000.0,3820965000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,7208834000000.0,3647210000000.0,3077646000000.0,3820965000000.0,
Minority Interests,-711581000000.0,-205008000000.0,-2000000.0,1000000.0,
Net Income Including Noncontrolling Interests,7920415000000.0,3852218000000.0,3077648000000.0,3820964000000.0,
Net Income Continuous Operations,7920415000000.0,3852218000000.0,3077648000000.0,3820964000000.0,
Tax Provision,1826712000000.0,761425000000.0,776833000000.0,1393807000000.0,
Pretax Income,9747127000000.0,4613643000000.0,3854481000000.0,5214771000000.0,
Other Non Operating Income Expenses,39576000000.0,201356000000.0,38657000000.0,71330000000.0,
Special Income Charges,2129104000000.0,-379868000000.0,418020000000.0,-1063075000000.0,
Other Special Charges,-1508528000000.0,379868000000.0,-459486000000.0,1000803000000.0,
Write Off,,0.0,55236000000.0,0.0,
Impairment Of Capital Assets,,0.0,-13770000000.0,62272000000.0,150567000000.0
Restructuring And Mergern Acquisition,-620576000000.0,0.0,,,
Net Non Operating Interest Income Expense,326750000000.0,351623000000.0,-51102000000.0,-92830000000.0,
Total Other Finance Cost,9192000000.0,10024000000.0,40892000000.0,575000000.0,
Interest Expense Non Operating,78451000000.0,129367000000.0,181578000000.0,166570000000.0,
Interest Income Non Operating,414393000000.0,491014000000.0,171368000000.0,74315000000.0,
Operating Income,6975061000000.0,3509649000000.0,2697452000000.0,5033454000000.0,
Operating Expense,6706288000000.0,2988648000000.0,3617226000000.0,3177065000000.0,
Other Operating Expenses,364835000000.0,295266000000.0,418332000000.0,461143000000.0,
Depreciation And Amortization In Income Statement,168095000000.0,146558000000.0,128846000000.0,130183000000.0,
Depreciation Income Statement,168095000000.0,146558000000.0,128846000000.0,130183000000.0,
Selling General And Administration,4680201000000.0,1478860000000.0,1702356000000.0,1462915000000.0,
Selling And Marketing Expense,187457000000.0,70574000000.0,139035000000.0,535671000000.0,
General And Administrative Expense,4492744000000.0,1408286000000.0,1563321000000.0,927244000000.0,
Rent And Landing Fees,73855000000.0,75336000000.0,76660000000.0,46039000000.0,
Gross Profit,13681349000000.0,6498297000000.0,6314678000000.0,8210519000000.0,
Cost Of Revenue,70961090000000.0,62694143000000.0,34733015000000.0,37719837000000.0,
Total Revenue,84642439000000.0,69192440000000.0,41047693000000.0,45930356000000.0,
Operating Revenue,84642439000000.0,69192440000000.0,41047693000000.0,45930356000000.0,
