,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,61550925174.484665,-10094903869.738308,-110261835589.90663,-306282198848.97797,
Tax Rate For Calcs,0.184284,0.183544,0.186884,0.197857,
Normalized EBITDA,52688000000000.0,56864000000000.0,58096000000000.0,54045000000000.0,
Total Unusual Items,334000000000.0,-55000000000.0,-255000000000.0,-1548000000000.0,
Total Unusual Items Excluding Goodwill,334000000000.0,-55000000000.0,-590000000000.0,-1548000000000.0,
Net Income From Continuing Operation Net Minority Interest,32769000000000.0,33901000000000.0,33839000000000.0,28944000000000.0,
Reconciled Cost Of Revenue,251948000000000.0,255421000000000.0,243255000000000.0,231291000000000.0,
EBITDA,53022000000000.0,56809000000000.0,57841000000000.0,52497000000000.0,
EBIT,53022000000000.0,56809000000000.0,57841000000000.0,52497000000000.0,
Net Interest Income,-746000000000.0,-848000000000.0,-59000000000.0,428000000000.0,
Interest Expense,3734000000000.0,3808000000000.0,3112000000000.0,2107000000000.0,
Interest Income,3655000000000.0,3289000000000.0,3053000000000.0,2535000000000.0,
Normalized Income,32496550925174.484,33945905096130.26,34653738164410.094,30185717801151.023,
Net Income From Continuing And Discontinued Operation,32769000000000.0,33901000000000.0,33839000000000.0,28944000000000.0,
Total Expenses,284727000000000.0,286080000000000.0,272297000000000.0,259178000000000.0,
Rent Expense Supplemental,,,1376000000000.0,1016000000000.0,831000000000.0
Diluted Average Shares,40451000000.0,40484000000.0,40484000000.0,40484000000.0,
Basic Average Shares,40451000000.0,40484000000.0,40484000000.0,40484000000.0,
Diluted EPS,810.0,837.0,836.0,715.0,
Basic EPS,810.0,837.0,836.0,715.0,
Diluted NI Availto Com Stockholders,32769000000000.0,33901000000000.0,33839000000000.0,28944000000000.0,
Net Income Common Stockholders,32769000000000.0,33901000000000.0,33839000000000.0,28944000000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,32769000000000.0,33901000000000.0,33839000000000.0,28944000000000.0,
Minority Interests,-7436000000000.0,-9372000000000.0,-10662000000000.0,-11476000000000.0,
Net Income Including Noncontrolling Interests,40205000000000.0,43273000000000.0,44501000000000.0,40420000000000.0,
Net Income Continuous Operations,40205000000000.0,43273000000000.0,44501000000000.0,40420000000000.0,
Tax Provision,9083000000000.0,9728000000000.0,10228000000000.0,9970000000000.0,
Pretax Income,49288000000000.0,53001000000000.0,54729000000000.0,50390000000000.0,
Other Non Operating Income Expenses,1487000000000.0,1745000000000.0,2019000000000.0,890000000000.0,
Special Income Charges,334000000000.0,-2000000000.0,-305000000000.0,-449000000000.0,
Other Special Charges,-905000000000.0,-434000000000.0,-300000000000.0,-384000000000.0,
Write Off,1032000000000.0,301000000000.0,168000000000.0,0.0,
Impairment Of Capital Assets,3000000000.0,135000000000.0,0.0,688000000000.0,
Restructuring And Mergern Acquisition,-464000000000.0,0.0,,,
Net Non Operating Interest Income Expense,-746000000000.0,-848000000000.0,-59000000000.0,428000000000.0,
Total Other Finance Cost,667000000000.0,329000000000.0,,,
Interest Expense Non Operating,3734000000000.0,3808000000000.0,3112000000000.0,2107000000000.0,
Interest Income Non Operating,3655000000000.0,3289000000000.0,3053000000000.0,2535000000000.0,
Operating Income,38665000000000.0,42400000000000.0,44268000000000.0,42201000000000.0,
Operating Expense,32779000000000.0,30659000000000.0,29042000000000.0,27887000000000.0,
Other Operating Expenses,,,,27887000000000.0,25500000000000.0
Selling General And Administration,32779000000000.0,30659000000000.0,29042000000000.0,27887000000000.0,
Selling And Marketing Expense,11744000000000.0,11065000000000.0,11453000000000.0,11522000000000.0,
General And Administrative Expense,21035000000000.0,19594000000000.0,17589000000000.0,16365000000000.0,
Gross Profit,71444000000000.0,73059000000000.0,73310000000000.0,70088000000000.0,
Cost Of Revenue,251948000000000.0,255421000000000.0,243255000000000.0,231291000000000.0,
Total Revenue,323392000000000.0,328480000000000.0,316565000000000.0,301379000000000.0,
Operating Revenue,323392000000000.0,328480000000000.0,316565000000000.0,301379000000000.0,
