,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,208639121002.54,163770209004.24155,231741227696.78183,8518954908.048587
Tax Rate For Calcs,0.19222,0.19594,0.191454,0.192432
Total Unusual Items,1085417000000.0,835820000000.0,1210427000000.0,44270000000.0
Total Unusual Items Excluding Goodwill,1085417000000.0,835820000000.0,1210427000000.0,44270000000.0
Net Income From Continuing Operation Net Minority Interest,57537287000000.0,54836305000000.0,48639122000000.0,40735722000000.0
Reconciled Depreciation,2602035000000.0,2167549000000.0,3211483000000.0,2662190000000.0
Net Interest Income,87715636000000.0,84360786000000.0,77050359000000.0,65701870000000.0
Interest Expense,10455461000000.0,9885265000000.0,9731953000000.0,6012580000000.0
Interest Income,98171097000000.0,94246051000000.0,86782312000000.0,71714450000000.0
Normalized Income,56660509121002.54,54164255209004.24,47660436227696.78,40699970954908.05
Net Income From Continuing And Discontinued Operation,57537287000000.0,54836305000000.0,48639122000000.0,40735722000000.0
Diluted Average Shares,123244982342.0,123275050000.0,123275050000.0,123275050000.0
Basic Average Shares,123244982342.0,123275050000.0,123275050000.0,123275050000.0
Diluted EPS,467.0,445.0,395.0,330.0
Basic EPS,467.0,445.0,395.0,330.0
Diluted NI Availto Com Stockholders,57537287000000.0,54836305000000.0,48639122000000.0,40735722000000.0
Net Income Common Stockholders,57537287000000.0,54836305000000.0,48639122000000.0,40735722000000.0
Net Income,57537287000000.0,54836305000000.0,48639122000000.0,40735722000000.0
Minority Interests,-25806000000.0,-14969000000.0,-18973000000.0,-19850000000.0
Net Income Including Noncontrolling Interests,57563093000000.0,54851274000000.0,48658095000000.0,40755572000000.0
Net Income Continuous Operations,57563093000000.0,54851274000000.0,48658095000000.0,40755572000000.0
Tax Provision,13697783000000.0,13366576000000.0,11521662000000.0,9711461000000.0
Pretax Income,71260876000000.0,68217850000000.0,60179757000000.0,50467033000000.0
Special Income Charges,1085417000000.0,835820000000.0,1210427000000.0,44270000000.0
Write Off,-1085417000000.0,-835820000000.0,-1210427000000.0,-44270000000.0
Gain On Sale Of Security,3015593000000.0,1709301000000.0,1345430000000.0,-1051603000000.0
Operating Expense,39120784000000.0,38552392000000.0,39503700000000.0,34541198000000.0
Other Operating Expenses,2465664000000.0,2278074000000.0,4133051000000.0,3626962000000.0
Depreciation And Amortization In Income Statement,2602035000000.0,2167549000000.0,3211483000000.0,2662190000000.0
Amortization,199255000000.0,150095000000.0,276409000000.0,284770000000.0
Depreciation Income Statement,2402780000000.0,2017454000000.0,2935074000000.0,2377420000000.0
Selling General And Administration,12464337000000.0,13202749000000.0,12653813000000.0,11360112000000.0
Selling And Marketing Expense,1596938000000.0,1657278000000.0,1630166000000.0,1318563000000.0
General And Administrative Expense,10867399000000.0,11545471000000.0,11023647000000.0,10041549000000.0
Insurance And Claims,2473103000000.0,2316425000000.0,2277722000000.0,2118061000000.0
Rent And Landing Fees,1334875000000.0,1143353000000.0,1029820000000.0,1122415000000.0
Total Revenue,114319648000000.0,108796625000000.0,100485975000000.0,89523508000000.0
Operating Revenue,114319648000000.0,108796625000000.0,100485975000000.0,89523508000000.0
