,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,955583097304.9944,1111123936983.8433,889341944861.5271,700630054559.1719
Tax Rate For Calcs,0.175691,0.184413,0.176816,0.185348
Total Unusual Items,5438988000000.0,6025183000000.0,5029766000000.0,3780086000000.0
Total Unusual Items Excluding Goodwill,5438988000000.0,6025183000000.0,5029766000000.0,3780086000000.0
Net Income From Continuing Operation Net Minority Interest,20040703000000.0,21463599000000.0,20909476000000.0,18312054000000.0
Reconciled Depreciation,2619359000000.0,2416792000000.0,2304524000000.0,2250499000000.0
Net Interest Income,40333195000000.0,40480205000000.0,41275673000000.0,41320692000000.0
Interest Expense,29060959000000.0,26102905000000.0,20196023000000.0,13337989000000.0
Interest Income,69394154000000.0,66583110000000.0,61471696000000.0,54658681000000.0
Normalized Income,15557298097304.994,16549539936983.844,16769051944861.527,15232598054559.172
Net Income From Continuing And Discontinued Operation,20040703000000.0,21463599000000.0,20909476000000.0,18312054000000.0
Diluted Average Shares,37297312916.0,37289742787.0,37256798316.0,37276744082.0
Basic Average Shares,37297312916.0,37289742787.0,37256798316.0,37276744082.0
Diluted EPS,537.0,576.0,561.0,491.5
Basic EPS,537.0,576.0,561.0,491.5
Diluted NI Availto Com Stockholders,20040703000000.0,21463599000000.0,20909476000000.0,18312054000000.0
Net Income Common Stockholders,20040703000000.0,21463599000000.0,20909476000000.0,18312054000000.0
Net Income,20040703000000.0,21463599000000.0,20909476000000.0,18312054000000.0
Minority Interests,-70337000000.0,-205798000000.0,-196752000000.0,-169726000000.0
Net Income Including Noncontrolling Interests,20111040000000.0,21669397000000.0,21106228000000.0,18481780000000.0
Net Income Continuous Operations,20111040000000.0,21669397000000.0,21106228000000.0,18481780000000.0
Tax Provision,4286423000000.0,4899694000000.0,4533510000000.0,4204928000000.0
Pretax Income,24397463000000.0,26569091000000.0,25639738000000.0,22686708000000.0
Other Non Operating Income Expenses,1839000000.0,-3797000000.0,-133598000000.0,-212147000000.0
Special Income Charges,5438988000000.0,6025183000000.0,5029766000000.0,3780086000000.0
Write Off,-5438988000000.0,-6025183000000.0,-5029766000000.0,-3780086000000.0
Gain On Sale Of Security,3027395000000.0,1913801000000.0,1253245000000.0,1347383000000.0
Operating Expense,30856356000000.0,29112226000000.0,27777665000000.0,27059149000000.0
Other Operating Expenses,4164633000000.0,3729745000000.0,3332115000000.0,3351217000000.0
Depreciation And Amortization In Income Statement,2619359000000.0,2416792000000.0,2304524000000.0,2250499000000.0
Depreciation Income Statement,2619359000000.0,2416792000000.0,2304524000000.0,2250499000000.0
Selling General And Administration,7144174000000.0,6949429000000.0,7029314000000.0,6783867000000.0
Selling And Marketing Expense,1187693000000.0,1103491000000.0,1066423000000.0,1116323000000.0
General And Administrative Expense,5956481000000.0,5845938000000.0,5962891000000.0,5667544000000.0
Insurance And Claims,1703849000000.0,1567476000000.0,1476244000000.0,1411806000000.0
Rent And Landing Fees,695137000000.0,667277000000.0,801699000000.0,805738000000.0
Total Revenue,57909918000000.0,56347695000000.0,56389769000000.0,56608758000000.0
Operating Revenue,57909918000000.0,56347695000000.0,56389769000000.0,56608758000000.0
