,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,4490839301400.0,5581286981000.0,3446916019800.0,2566980933619.164,
Tax Rate For Calcs,0.2151,0.2194,0.2094,0.204167,
Total Unusual Items,20877914000000.0,25438865000000.0,16460917000000.0,12572967000000.0,
Total Unusual Items Excluding Goodwill,20877914000000.0,25438865000000.0,16460917000000.0,12572967000000.0,
Net Income From Continuing Operation Net Minority Interest,56652384000000.0,59944649000000.0,60099863000000.0,51170312000000.0,
Reconciled Depreciation,5869384000000.0,5843344000000.0,3726291000000.0,3614805000000.0,
Net Interest Income,136846314000000.0,129670761000000.0,125612059000000.0,115487072000000.0,
Interest Expense,56012924000000.0,55601330000000.0,42658864000000.0,26269701000000.0,
Interest Income,192859238000000.0,185272091000000.0,168270923000000.0,141756773000000.0,
Normalized Income,40265309301400.0,40087070981000.0,47085862019800.0,41164325933619.164,
Net Income From Continuing And Discontinued Operation,56652384000000.0,59944649000000.0,60099863000000.0,51170312000000.0,
Diluted Average Shares,150602160685.0,150763568628.0,150914807140.0,151408935437.0,
Basic Average Shares,150602160685.0,150733730203.0,150880994955.0,151386393314.0,
Diluted EPS,376.0,398.0,398.0,338.0,
Basic EPS,376.0,398.0,398.0,338.0,
Diluted NI Availto Com Stockholders,56652384000000.0,59944649000000.0,60099863000000.0,51170312000000.0,
Net Income Common Stockholders,56652384000000.0,59944649000000.0,60099863000000.0,51170312000000.0,
Net Income,56652384000000.0,59944649000000.0,60099863000000.0,51170312000000.0,
Minority Interests,-479981000000.0,-361697000000.0,-325185000000.0,-237895000000.0,
Net Income Including Noncontrolling Interests,57132365000000.0,60306346000000.0,60425048000000.0,51408207000000.0,
Net Income Continuous Operations,57132365000000.0,60306346000000.0,60425048000000.0,51408207000000.0,
Tax Provision,15660454000000.0,16945848000000.0,16004664000000.0,13188494000000.0,
Pretax Income,72792819000000.0,77252194000000.0,76429712000000.0,64596701000000.0,
Other Non Operating Income Expenses,-463082000000.0,-1051575000000.0,-524670000000.0,41828000000.0,
Special Income Charges,20877914000000.0,25438865000000.0,16460917000000.0,12572967000000.0,
Other Special Charges,-8020000000.0,-87922000000.0,-125187000000.0,-242077000000.0,
Write Off,-20869894000000.0,-25350943000000.0,-16335730000000.0,-12330890000000.0,
Gain On Sale Of Security,17185170000000.0,14994442000000.0,13903052000000.0,10773712000000.0,
Operating Expense,88446886000000.0,81897290000000.0,76782291000000.0,74316012000000.0,
Other Operating Expenses,13000321000000.0,14188536000000.0,10663787000000.0,9246455000000.0,
Depreciation And Amortization In Income Statement,5869384000000.0,5843344000000.0,3726291000000.0,3614805000000.0,
Depreciation Income Statement,5869384000000.0,5843344000000.0,3726291000000.0,3614805000000.0,
Selling General And Administration,25704398000000.0,22109240000000.0,22730404000000.0,19993014000000.0,
General And Administrative Expense,25704398000000.0,22109240000000.0,22730404000000.0,19993014000000.0,
Insurance And Claims,,,,7359672000000.0,5946708000000.0
Rent And Landing Fees,1759217000000.0,1139636000000.0,1811534000000.0,2071605000000.0,
Total Revenue,186876558000000.0,172996429000000.0,166453016000000.0,153783233000000.0,
Operating Revenue,186876558000000.0,172996429000000.0,166453016000000.0,153783233000000.0,
