,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,396027172.968078,4918935190.92833,3073358455.856681,-19670931287.118603,
Tax Rate For Calcs,0.197225,0.199446,0.19593,0.202657,
Total Unusual Items,2008000000.0,24663000000.0,15686000000.0,-97065000000.0,
Total Unusual Items Excluding Goodwill,2008000000.0,24663000000.0,15686000000.0,-97065000000.0,
Net Income From Continuing Operation Net Minority Interest,56293950000000.0,55782742000000.0,55060057000000.0,41170637000000.0,
Reconciled Depreciation,6106744000000.0,4668462000000.0,4566902000000.0,4513637000000.0,
Net Interest Income,91569586000000.0,88916286000000.0,83654984000000.0,76244928000000.0,
Interest Expense,49211664000000.0,41718486000000.0,30733842000000.0,20510620000000.0,
Interest Income,140781250000000.0,130634772000000.0,114388826000000.0,96755548000000.0,
Normalized Income,56292338027172.97,55762997935190.93,55047444358455.86,41248031068712.88,
Net Income From Continuing And Discontinued Operation,56293950000000.0,55782742000000.0,55060057000000.0,41170637000000.0,
Diluted Average Shares,93320458332.0,93333333332.0,93333333332.0,93302714482.0,
Basic Average Shares,93320458332.0,93333333332.0,93333333332.0,93302714482.0,
Diluted EPS,603.23,597.67,589.93,441.26,
Basic EPS,603.23,597.67,589.93,441.26,
Diluted NI Availto Com Stockholders,56293950000000.0,55782742000000.0,55060057000000.0,41170637000000.0,
Net Income Common Stockholders,56293950000000.0,55782742000000.0,55060057000000.0,41170637000000.0,
Net Income,56293950000000.0,55782742000000.0,55060057000000.0,41170637000000.0,
Minority Interests,-5052183000000.0,-5382379000000.0,-4991813000000.0,-3781731000000.0,
Net Income Including Noncontrolling Interests,61346133000000.0,61165121000000.0,60051870000000.0,44952368000000.0,
Net Income Continuous Operations,61346133000000.0,61165121000000.0,60051870000000.0,44952368000000.0,
Tax Provision,15071430000000.0,15238365000000.0,14633011000000.0,11425358000000.0,
Pretax Income,76417563000000.0,76403486000000.0,74684881000000.0,56377726000000.0,
Other Non Operating Income Expenses,104547000000.0,341056000000.0,34694000000.0,206816000000.0,
Special Income Charges,2008000000.0,24663000000.0,15686000000.0,-97065000000.0,
Other Special Charges,-2008000000.0,-24663000000.0,-29075000000.0,-14174000000.0,
Write Off,,,,,-204947000000.0
Impairment Of Capital Assets,,0.0,13389000000.0,111239000000.0,45226000000.0
Gain On Sale Of Security,18848412000000.0,15032050000000.0,13930848000000.0,13353899000000.0,
Operating Expense,63630242000000.0,56180473000000.0,51582919000000.0,51602703000000.0,
Other Operating Expenses,3444046000000.0,2830831000000.0,1753184000000.0,2308935000000.0,
Depreciation And Amortization In Income Statement,6106744000000.0,4668462000000.0,4566902000000.0,4513637000000.0,
Amortization,1556721000000.0,945641000000.0,1153670000000.0,1095451000000.0,
Depreciation Income Statement,4550023000000.0,3722821000000.0,3413232000000.0,3418186000000.0,
Selling General And Administration,21849383000000.0,19968219000000.0,16645941000000.0,16135159000000.0,
Selling And Marketing Expense,4598568000000.0,2701820000000.0,2303064000000.0,2077000000000.0,
General And Administrative Expense,17250815000000.0,17266399000000.0,14342877000000.0,14058159000000.0,
Insurance And Claims,4050472000000.0,3477112000000.0,3060846000000.0,2777783000000.0,
Rent And Landing Fees,1531224000000.0,1083568000000.0,813808000000.0,897454000000.0,
Total Revenue,140173049000000.0,134799086000000.0,124193814000000.0,115633384000000.0,
Operating Revenue,140173049000000.0,134799086000000.0,124193814000000.0,115633384000000.0,
