,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,23130816574.59943,24721941150.91954,6889232632.100187,-11785076764.150116
Tax Rate For Calcs,0.244132,0.245255,0.24844,0.246813
Total Unusual Items,94747000000.0,100801000000.0,27730000000.0,-47749000000.0
Total Unusual Items Excluding Goodwill,94747000000.0,100801000000.0,27730000000.0,-47749000000.0
Net Income From Continuing Operation Net Minority Interest,7567523000000.0,7005888000000.0,5703743000000.0,4260182000000.0
Reconciled Depreciation,1625283000000.0,1049718000000.0,837672000000.0,701792000000.0
Normalized Income,7495906816574.6,6929808941150.92,5682902232632.101,4296145923235.85
Net Income From Continuing And Discontinued Operation,7567523000000.0,7005888000000.0,5703743000000.0,4260182000000.0
Diluted Average Shares,46129260138.0,46129260138.0,46129260138.0,41545970076.0
Basic Average Shares,46129260138.0,46129260138.0,46129260138.0,41545970076.0
Diluted EPS,164.05,151.88,123.65,102.54
Basic EPS,164.05,151.88,123.65,102.54
Diluted NI Availto Com Stockholders,7567523000000.0,7005888000000.0,5703743000000.0,4260182000000.0
Net Income Common Stockholders,7567523000000.0,7005888000000.0,5703743000000.0,4260182000000.0
Net Income,7567523000000.0,7005888000000.0,5703743000000.0,4260182000000.0
Net Income Including Noncontrolling Interests,7567523000000.0,7005888000000.0,5703743000000.0,4260182000000.0
Net Income Continuous Operations,7567523000000.0,7005888000000.0,5703743000000.0,4260182000000.0
Tax Provision,2444182000000.0,2276568000000.0,1885459000000.0,1396026000000.0
Pretax Income,10011705000000.0,9282456000000.0,7589202000000.0,5656208000000.0
Other Non Operating Income Expenses,3688000000.0,4312000000.0,-2156000000.0,8534000000.0
Special Income Charges,94747000000.0,100801000000.0,27730000000.0,-47749000000.0
Write Off,-94747000000.0,-100801000000.0,-27730000000.0,47749000000.0
Gain On Sale Of Security,20079825000000.0,17850623000000.0,16376809000000.0,15597354000000.0
Operating Expense,12980420000000.0,11194424000000.0,9718928000000.0,9392870000000.0
Other Operating Expenses,93983000000.0,166294000000.0,42944000000.0,78778000000.0
Depreciation And Amortization In Income Statement,1625283000000.0,1049718000000.0,837672000000.0,701792000000.0
Depreciation Income Statement,1625283000000.0,1049718000000.0,837672000000.0,701792000000.0
Selling General And Administration,5036349000000.0,4203604000000.0,3400729000000.0,3316091000000.0
Selling And Marketing Expense,1068216000000.0,838642000000.0,679093000000.0,502527000000.0
General And Administrative Expense,3968133000000.0,3364962000000.0,2721636000000.0,2813564000000.0
Insurance And Claims,120543000000.0,97014000000.0,91006000000.0,27316000000.0
Rent And Landing Fees,606994000000.0,393072000000.0,310255000000.0,308771000000.0
Total Revenue,24043834000000.0,21172735000000.0,18719311000000.0,17782936000000.0
Operating Revenue,24043834000000.0,21172735000000.0,18719311000000.0,17782936000000.0
