,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,-45788732343.41658,-15554259075.874,
Tax Rate For Calcs,0.268283,0.293883,0.226501,0.171556,
Normalized EBITDA,8521983000000.0,6264230000000.0,4170377000000.0,4309955000000.0,
Total Unusual Items,,-302598000000.0,-202157000000.0,-90666000000.0,0.0
Total Unusual Items Excluding Goodwill,,-302598000000.0,-202157000000.0,-90666000000.0,0.0
Net Income From Continuing Operation Net Minority Interest,5643863000000.0,3712926000000.0,2318584000000.0,2928342000000.0,
Reconciled Depreciation,310471000000.0,332233000000.0,328821000000.0,315138000000.0,
Reconciled Cost Of Revenue,58284531000000.0,57057835000000.0,53341338000000.0,48723504000000.0,
EBITDA,8521983000000.0,6264230000000.0,3968220000000.0,4219289000000.0,
EBIT,8211512000000.0,5931997000000.0,3639399000000.0,3904151000000.0,
Net Interest Income,-443123000000.0,-687628000000.0,-669606000000.0,-398751000000.0,
Interest Expense,498649000000.0,675643000000.0,642514000000.0,366971000000.0,
Interest Income,116717000000.0,44025000000.0,28117000000.0,21555000000.0,
Normalized Income,5643863000000.0,3712926000000.0,2474952267656.5835,3003453740924.126,
Net Income From Continuing And Discontinued Operation,5643863000000.0,3712926000000.0,2318584000000.0,2928342000000.0,
Total Expenses,62571877000000.0,61490573000000.0,57759087000000.0,52792478000000.0,
Rent Expense Supplemental,114658000000.0,130253000000.0,123092000000.0,68520000000.0,
Total Operating Income As Reported,8133111000000.0,5987419000000.0,3654606000000.0,3984400000000.0,
Diluted Average Shares,16398000000.0,16398000000.0,16398000000.0,16398000000.0,
Basic Average Shares,16398000000.0,16398000000.0,16398000000.0,16398000000.0,
Diluted EPS,344.0,226.0,141.0,179.0,
Basic EPS,344.0,226.0,141.0,179.0,
Diluted NI Availto Com Stockholders,5643863000000.0,3712926000000.0,2318584000000.0,2928342000000.0,
Net Income Common Stockholders,5643863000000.0,3712926000000.0,2318584000000.0,2928342000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,5643863000000.0,3712926000000.0,2318584000000.0,2928342000000.0,
Minority Interests,233000000.0,1325000000.0,496000000.0,-2015000000.0,
Net Income Including Noncontrolling Interests,5643630000000.0,3711601000000.0,2318088000000.0,2930357000000.0,
Net Income Continuous Operations,5643630000000.0,3711601000000.0,2318088000000.0,2930357000000.0,
Tax Provision,2069233000000.0,1544753000000.0,678797000000.0,606823000000.0,
Pretax Income,7712863000000.0,5256354000000.0,2996885000000.0,3537180000000.0,
Special Income Charges,,-302598000000.0,-202157000000.0,-90666000000.0,0.0
Other Special Charges,,-69607000000.0,,12132000000.0,-129629000000.0
Write Off,,302598000000.0,202157000000.0,90666000000.0,
Net Non Operating Interest Income Expense,-443123000000.0,-687628000000.0,-669606000000.0,-398751000000.0,
Total Other Finance Cost,61191000000.0,56010000000.0,55209000000.0,53335000000.0,
Interest Expense Non Operating,498649000000.0,675643000000.0,642514000000.0,366971000000.0,
Interest Income Non Operating,116717000000.0,44025000000.0,28117000000.0,21555000000.0,
Operating Income,8133111000000.0,5987419000000.0,3856763000000.0,4075066000000.0,
Operating Expense,4287346000000.0,4432738000000.0,4417749000000.0,4068974000000.0,
Other Operating Expenses,387758000000.0,490073000000.0,277315000000.0,713156000000.0,
Depreciation And Amortization In Income Statement,310471000000.0,332233000000.0,328821000000.0,315138000000.0,
Depreciation Income Statement,310471000000.0,332233000000.0,328821000000.0,315138000000.0,
Selling General And Administration,2672743000000.0,2443302000000.0,2089551000000.0,1921368000000.0,
Selling And Marketing Expense,1182192000000.0,1007152000000.0,714548000000.0,585581000000.0,
General And Administrative Expense,1490551000000.0,1436150000000.0,1375003000000.0,1335787000000.0,
Rent And Landing Fees,114658000000.0,130253000000.0,123092000000.0,68520000000.0,
Gross Profit,12420457000000.0,10420157000000.0,8274512000000.0,8144040000000.0,
Cost Of Revenue,58284531000000.0,57057835000000.0,53341338000000.0,48723504000000.0,
Total Revenue,70704988000000.0,67477992000000.0,61615850000000.0,56867544000000.0,
Operating Revenue,70704988000000.0,67477992000000.0,61615850000000.0,56867544000000.0,
