,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-257233460000.0,-282881280000.0,-102503572360.99867,-36751454973.53578
Tax Rate For Calcs,0.22,0.22,0.001276,0.003356
Normalized EBITDA,997077000000.0,-3069582000000.0,-86070548000000.0,-37491016000000.0
Total Unusual Items,-812413000000.0,-977710000000.0,-1534945000000.0,52618000000.0
Total Unusual Items Excluding Goodwill,-1169243000000.0,-1285824000000.0,-80302455000000.0,-10951254000000.0
Net Income From Continuing Operation Net Minority Interest,-1185654000000.0,-5154924000000.0,-90395629000000.0,-39571161000000.0
Reconciled Depreciation,748552000000.0,744175000000.0,2671148000000.0,2912887000000.0
Reconciled Cost Of Revenue,7746034000000.0,7413392000000.0,5093179000000.0,5479970000000.0
EBITDA,184664000000.0,-4047292000000.0,-87605493000000.0,-37438398000000.0
EBIT,-563888000000.0,-4791467000000.0,-90276641000000.0,-40351285000000.0
Net Interest Income,37953000000.0,242396000000.0,266495000000.0,384839000000.0
Interest Expense,522716000000.0,484363000000.0,357777000000.0,193271000000.0
Interest Income,475235000000.0,553383000000.0,435900000000.0,502166000000.0
Normalized Income,83185540000.0,-3843867280000.0,68571832427639.0,-17652786454973.535
Net Income From Continuing And Discontinued Operation,-1185654000000.0,-5154924000000.0,-90395629000000.0,-39571161000000.0
Total Expenses,18700371000000.0,18135336000000.0,25064462000000.0,41678795000000.0
Total Operating Income As Reported,-378254000000.0,-2240874000000.0,-10278970000000.0,-30329628000000.0
Diluted Average Shares,1057699754605.0,1072973660164.0,1062288021823.0,1020306384592.0
Basic Average Shares,1057699754605.0,1072973660164.0,1062288021823.0,1020306384592.0
Diluted EPS,-1.12,-4.8,-85.0,-39.0
Basic EPS,-1.12,-4.8,-85.0,-39.0
Diluted NI Availto Com Stockholders,-1185654000000.0,-5154924000000.0,-90395629000000.0,-39571161000000.0
Net Income Common Stockholders,-1185654000000.0,-5154924000000.0,-90395629000000.0,-39571161000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-1185654000000.0,-5154924000000.0,-90395629000000.0,-39571161000000.0
Minority Interests,316031000000.0,309931000000.0,123097000000.0,837331000000.0
Net Income Including Noncontrolling Interests,-1501685000000.0,-5464855000000.0,-90518726000000.0,-40408492000000.0
Net Income Continuous Operations,-1501685000000.0,-5464855000000.0,-90518726000000.0,-40408492000000.0
Tax Provision,415081000000.0,189025000000.0,-115692000000.0,-136064000000.0
Pretax Income,-1086604000000.0,-5275830000000.0,-90634418000000.0,-40544556000000.0
Other Non Operating Income Expenses,44250000000.0,9838000000.0,43831000000.0,23627000000.0
Special Income Charges,-572540000000.0,-803690000000.0,-79310885000000.0,-11500900000000.0
Other Special Charges,-1423000000.0,344437000000.0,118546000000.0,1191000000.0
Write Off,0.0,126718000000.0,373204000000.0,427005000000.0
Impairment Of Capital Assets,217133000000.0,24421000000.0,51625000000.0,68832000000.0
Net Non Operating Interest Income Expense,37953000000.0,242396000000.0,266495000000.0,384839000000.0
Total Other Finance Cost,-85434000000.0,-173376000000.0,-188372000000.0,-75944000000.0
Interest Expense Non Operating,522716000000.0,484363000000.0,357777000000.0,193271000000.0
Interest Income Non Operating,475235000000.0,553383000000.0,435900000000.0,502166000000.0
Operating Income,-378254000000.0,-2240874000000.0,-10278970000000.0,-30329628000000.0
Operating Expense,10954337000000.0,10721944000000.0,19971283000000.0,36198825000000.0
Other Operating Expenses,974464000000.0,975514000000.0,1704532000000.0,1850187000000.0
Depreciation And Amortization In Income Statement,748552000000.0,744175000000.0,2671148000000.0,2912887000000.0
Depreciation Income Statement,748552000000.0,744175000000.0,2671148000000.0,2912887000000.0
Research And Development,2152272000000.0,1756068000000.0,3517369000000.0,4642199000000.0
Selling General And Administration,7079049000000.0,7246187000000.0,12078234000000.0,26793552000000.0
Selling And Marketing Expense,3090124000000.0,2849934000000.0,6430776000000.0,14087664000000.0
General And Administrative Expense,3988925000000.0,4396253000000.0,5647458000000.0,12705888000000.0
Gross Profit,10576083000000.0,8481070000000.0,9692313000000.0,5869197000000.0
Cost Of Revenue,7746034000000.0,7413392000000.0,5093179000000.0,5479970000000.0
Total Revenue,18322117000000.0,15894462000000.0,14785492000000.0,11349167000000.0
Operating Revenue,18322117000000.0,15894462000000.0,14785492000000.0,11349167000000.0
