,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.216102,0.233575,0.260345,0.239614,
Normalized EBITDA,16231567000000.0,14000301000000.0,13827390000000.0,10137353000000.0,
Total Unusual Items,,,-240558000000.0,-197062000000.0,0.0
Total Unusual Items Excluding Goodwill,,,-240558000000.0,-197062000000.0,0.0
Net Income From Continuing Operation Net Minority Interest,9224927000000.0,7079369000000.0,6990572000000.0,4587367000000.0,
Reconciled Depreciation,357233000000.0,358616000000.0,357984000000.0,463311000000.0,
Reconciled Cost Of Revenue,48490503000000.0,45704099000000.0,42783641000000.0,43005230000000.0,
EBITDA,16231567000000.0,14000301000000.0,13827390000000.0,10137353000000.0,
EBIT,15874334000000.0,13641685000000.0,13469406000000.0,9674042000000.0,
Net Interest Income,-1344278000000.0,-1179229000000.0,-1405446000000.0,-1907672000000.0,
Interest Expense,2153025000000.0,2142348000000.0,2024713000000.0,2148657000000.0,
Interest Income,808747000000.0,963119000000.0,619267000000.0,240985000000.0,
Normalized Income,9224927000000.0,7079369000000.0,6990572000000.0,4587367000000.0,
Net Income From Continuing And Discontinued Operation,9224927000000.0,7079369000000.0,6990572000000.0,4587367000000.0,
Total Expenses,58977271000000.0,56278344000000.0,53112168000000.0,52162557000000.0,
Rent Expense Supplemental,176304000000.0,123038000000.0,134292000000.0,154294000000.0,
Total Operating Income As Reported,16655530000000.0,16321190000000.0,14387607000000.0,13377646000000.0,
Diluted Average Shares,11661908000.0,11661908000.0,11661908000.0,11661908000.0,
Basic Average Shares,11661908000.0,11661908000.0,11661908000.0,11661908000.0,
Diluted EPS,791.0,607.0,599.0,393.0,
Basic EPS,791.0,607.0,599.0,393.0,
Diluted NI Availto Com Stockholders,9224927000000.0,7079369000000.0,6990572000000.0,4587367000000.0,
Net Income Common Stockholders,9224927000000.0,7079369000000.0,6990572000000.0,4587367000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,9224927000000.0,7079369000000.0,6990572000000.0,4587367000000.0,
Minority Interests,-1531182000000.0,-1734008000000.0,-1474551000000.0,-1134827000000.0,
Net Income Including Noncontrolling Interests,10756109000000.0,8813377000000.0,8465123000000.0,5722194000000.0,
Net Income Continuous Operations,10756109000000.0,8813377000000.0,8465123000000.0,5722194000000.0,
Tax Provision,2965200000000.0,2685960000000.0,2979570000000.0,1803191000000.0,
Pretax Income,13721309000000.0,11499337000000.0,11444693000000.0,7525385000000.0,
Other Non Operating Income Expenses,-114905000000.0,-139160000000.0,-95954000000.0,-35808000000.0,
Special Income Charges,,,-240558000000.0,-197062000000.0,0.0
Write Off,,,240558000000.0,197062000000.0,161257000000.0
Impairment Of Capital Assets,,,,,0.0
Net Non Operating Interest Income Expense,-1344278000000.0,-1179229000000.0,-1405446000000.0,-1907672000000.0,
Total Other Finance Cost,2134271000000.0,2125948000000.0,,,
Interest Expense Non Operating,2153025000000.0,2142348000000.0,2024713000000.0,2148657000000.0,
Interest Income Non Operating,808747000000.0,963119000000.0,619267000000.0,240985000000.0,
Operating Income,15873652000000.0,16318844000000.0,14797733000000.0,12634959000000.0,
Operating Expense,10486768000000.0,10574245000000.0,10328527000000.0,9157327000000.0,
Other Operating Expenses,328325000000.0,265827000000.0,337065000000.0,318822000000.0,
Depreciation And Amortization In Income Statement,357233000000.0,358616000000.0,357984000000.0,463311000000.0,
Amortization,133238000000.0,133238000000.0,133238000000.0,133238000000.0,
Depreciation Income Statement,223995000000.0,225378000000.0,224746000000.0,330073000000.0,
Selling General And Administration,7674680000000.0,7759259000000.0,7245671000000.0,6627008000000.0,
Selling And Marketing Expense,6642820000000.0,6694992000000.0,6348034000000.0,5860774000000.0,
General And Administrative Expense,1031860000000.0,1064267000000.0,897637000000.0,766234000000.0,
Rent And Landing Fees,176304000000.0,123038000000.0,134292000000.0,154294000000.0,
Gross Profit,26360420000000.0,26893089000000.0,25126260000000.0,21792286000000.0,
Cost Of Revenue,48490503000000.0,45704099000000.0,42783641000000.0,43005230000000.0,
Total Revenue,74850923000000.0,72597188000000.0,67909901000000.0,64797516000000.0,
Operating Revenue,74850923000000.0,72597188000000.0,67909901000000.0,64797516000000.0,
