,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-28744763661.988068,-144358343095.70392,-24920660238.966908,-91782845708.96515,
Tax Rate For Calcs,0.223644,0.232531,0.263948,0.253775,
Normalized EBITDA,24950028000000.0,22207715000000.0,19948832000000.0,16607516000000.0,
Total Unusual Items,-128529000000.0,-620812000000.0,-94415000000.0,-256985000000.0,
Total Unusual Items Excluding Goodwill,-128529000000.0,-620812000000.0,-94415000000.0,-361670000000.0,
Net Income From Continuing Operation Net Minority Interest,10684653000000.0,8641612000000.0,8147019000000.0,6359094000000.0,
Reconciled Depreciation,715444000000.0,720272000000.0,714408000000.0,825673000000.0,
Reconciled Cost Of Revenue,82300859000000.0,75649996000000.0,75653142000000.0,76858593000000.0,
EBITDA,24821499000000.0,21586903000000.0,19854417000000.0,16350531000000.0,
EBIT,24106055000000.0,20866631000000.0,19140009000000.0,15524858000000.0,
Net Interest Income,-2405393000000.0,-2052858000000.0,-2375857000000.0,-2609859000000.0,
Interest Expense,4068360000000.0,3826849000000.0,3524625000000.0,3206093000000.0,
Interest Income,1662967000000.0,1773991000000.0,1148768000000.0,596234000000.0,
Normalized Income,10784437236338.012,9118065656904.297,8216513339761.033,6733666154291.035,
Net Income From Continuing And Discontinued Operation,10684653000000.0,8641612000000.0,8147019000000.0,6359094000000.0,
Total Expenses,99780988000000.0,92169577000000.0,91565366000000.0,91901561000000.0,
Rent Expense Supplemental,248548000000.0,187161000000.0,200352000000.0,216689000000.0,
Total Operating Income As Reported,24569137000000.0,23088184000000.0,19663598000000.0,19693110000000.0,
Diluted Average Shares,8780426500.0,8780426500.0,8780426500.0,8780426500.0,
Basic Average Shares,8780426500.0,8780426500.0,8780426500.0,8780426500.0,
Diluted EPS,1217.0,984.0,928.0,724.0,
Basic EPS,1217.0,984.0,928.0,724.0,
Diluted NI Availto Com Stockholders,10684653000000.0,8641612000000.0,8147019000000.0,6359094000000.0,
Net Income Common Stockholders,10684653000000.0,8641612000000.0,8147019000000.0,6359094000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,10684653000000.0,8641612000000.0,8147019000000.0,6359094000000.0,
Minority Interests,-4871728000000.0,-4435884000000.0,-3346714000000.0,-2833475000000.0,
Net Income Including Noncontrolling Interests,15556381000000.0,13077496000000.0,11493733000000.0,9192569000000.0,
Net Income Continuous Operations,15556381000000.0,13077496000000.0,11493733000000.0,9192569000000.0,
Tax Provision,4481314000000.0,3962286000000.0,4121651000000.0,3126196000000.0,
Pretax Income,20037695000000.0,17039782000000.0,15615384000000.0,12318765000000.0,
Other Non Operating Income Expenses,-214686000000.0,-254190000000.0,-174330000000.0,-94870000000.0,
Special Income Charges,-128529000000.0,-620812000000.0,-94415000000.0,-361670000000.0,
Other Special Charges,-32343000000.0,-94447000000.0,-80056000000.0,-38468000000.0,
Write Off,,,583014000000.0,136112000000.0,456539000000.0
Impairment Of Capital Assets,160872000000.0,715259000000.0,174471000000.0,159341000000.0,
Net Non Operating Interest Income Expense,-2405393000000.0,-2052858000000.0,-2375857000000.0,-2609859000000.0,
Total Other Finance Cost,,,174330000000.0,94870000000.0,72738000000.0
Interest Expense Non Operating,4068360000000.0,3826849000000.0,3524625000000.0,3206093000000.0,
Interest Income Non Operating,1662967000000.0,1773991000000.0,1148768000000.0,596234000000.0,
Operating Income,23712226000000.0,23616948000000.0,20138245000000.0,18928711000000.0,
Operating Expense,17480129000000.0,16519581000000.0,15912224000000.0,15042968000000.0,
Other Operating Expenses,1076820000000.0,1005894000000.0,977452000000.0,1212170000000.0,
Depreciation And Amortization In Income Statement,715444000000.0,720272000000.0,714408000000.0,825673000000.0,
Amortization,133238000000.0,133238000000.0,133238000000.0,133238000000.0,
Depreciation Income Statement,582206000000.0,587034000000.0,581170000000.0,692435000000.0,
Selling General And Administration,11078822000000.0,10876220000000.0,9185132000000.0,9011323000000.0,
Selling And Marketing Expense,9776301000000.0,9574688000000.0,8564259000000.0,8011541000000.0,
General And Administrative Expense,1302521000000.0,1301532000000.0,620873000000.0,999782000000.0,
Rent And Landing Fees,248548000000.0,187161000000.0,200352000000.0,216689000000.0,
Gross Profit,41192355000000.0,40136529000000.0,36050469000000.0,33971679000000.0,
Cost Of Revenue,82300859000000.0,75649996000000.0,75653142000000.0,76858593000000.0,
Total Revenue,123493214000000.0,115786525000000.0,111703611000000.0,110830272000000.0,
Operating Revenue,123493214000000.0,115786525000000.0,111703611000000.0,110830272000000.0,
