,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,32514507591.239494,24011911004.2666,261606751128.99878,802087804847.4331,
Tax Rate For Calcs,0.201402,0.216875,0.194862,0.178339,
Normalized EBITDA,27131591000000.0,26636785000000.0,23910615000000.0,20059204000000.0,
Total Unusual Items,161441000000.0,110718000000.0,1342521000000.0,4497546000000.0,
Total Unusual Items Excluding Goodwill,161441000000.0,110718000000.0,1342521000000.0,4497546000000.0,
Net Income From Continuing Operation Net Minority Interest,5509703000000.0,4910828000000.0,4506392000000.0,4723415000000.0,
Reconciled Depreciation,15831135000000.0,15558448000000.0,14621163000000.0,13703158000000.0,
Reconciled Cost Of Revenue,23828490000000.0,22740295000000.0,21084880000000.0,21149374000000.0,
EBITDA,27293032000000.0,26747503000000.0,25253136000000.0,24556750000000.0,
EBIT,11461897000000.0,11189055000000.0,10631973000000.0,10853592000000.0,
Net Interest Income,-4011885000000.0,-4114823000000.0,-4393611000000.0,-4227388000000.0,
Interest Expense,4177250000000.0,4456530000000.0,4700390000000.0,4317803000000.0,
Interest Income,189402000000.0,362972000000.0,330998000000.0,117626000000.0,
Normalized Income,5380776507591.239,4824121911004.267,3425477751128.999,1027956804847.4331,
Net Income From Continuing And Discontinued Operation,5509703000000.0,4910828000000.0,4506392000000.0,4723415000000.0,
Total Expenses,45386689000000.0,45129408000000.0,41911981000000.0,40986797000000.0,
Rent Expense Supplemental,4334695000000.0,5061301000000.0,4611675000000.0,4109481000000.0,
Total Operating Income As Reported,11274867000000.0,10837896000000.0,,,10354006000000.0
Diluted Average Shares,32250810957.0,32250810957.0,32250727360.0,32164307568.0,
Basic Average Shares,32250810957.0,32250810957.0,32250727360.0,32164307568.0,
Diluted EPS,170.84,152.27,139.73,146.8525,
Basic EPS,170.84,152.27,139.73,146.8525,
Diluted NI Availto Com Stockholders,5509703000000.0,4910828000000.0,4506392000000.0,4723415000000.0,
Net Income Common Stockholders,5509703000000.0,4910828000000.0,4506392000000.0,4723415000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,5509703000000.0,4910828000000.0,4506392000000.0,4723415000000.0,
Minority Interests,-307803000000.0,-361584000000.0,-269349000000.0,-646788000000.0,
Net Income Including Noncontrolling Interests,5817506000000.0,5272412000000.0,4775741000000.0,5370203000000.0,
Net Income Continuous Operations,5817506000000.0,5272412000000.0,4775741000000.0,5370203000000.0,
Tax Provision,1467141000000.0,1460113000000.0,1155842000000.0,1165586000000.0,
Pretax Income,7284647000000.0,6732525000000.0,5931583000000.0,6535789000000.0,
Other Non Operating Income Expenses,365292000000.0,51580000000.0,-158255000000.0,305323000000.0,
Special Income Charges,161441000000.0,110718000000.0,1342521000000.0,4497402000000.0,
Other Special Charges,-161441000000.0,-110718000000.0,-1342521000000.0,-3494585000000.0,
Write Off,,,,,246903000000.0
Impairment Of Capital Assets,,,,0.0,541294000000.0
Restructuring And Mergern Acquisition,10095000000.0,82806000000.0,0.0,-1002817000000.0,
Net Non Operating Interest Income Expense,-4011885000000.0,-4114823000000.0,-4393611000000.0,-4227388000000.0,
Total Other Finance Cost,24037000000.0,21265000000.0,24219000000.0,27211000000.0,
Interest Expense Non Operating,4177250000000.0,4456530000000.0,4700390000000.0,4317803000000.0,
Interest Income Non Operating,189402000000.0,362972000000.0,330998000000.0,117626000000.0,
Operating Income,11131452000000.0,10757462000000.0,9316801000000.0,5765522000000.0,
Operating Expense,21558199000000.0,22389113000000.0,20827101000000.0,19837423000000.0,
Other Operating Expenses,103603000000.0,104942000000.0,83164000000.0,165868000000.0,
Depreciation And Amortization In Income Statement,15831135000000.0,15558448000000.0,14621163000000.0,13703158000000.0,
Depreciation Income Statement,15831135000000.0,15558448000000.0,14621163000000.0,13703158000000.0,
Research And Development,66646000000.0,61854000000.0,57226000000.0,60391000000.0,
Selling General And Administration,2401784000000.0,2707202000000.0,2298854000000.0,2061030000000.0,
Selling And Marketing Expense,1677341000000.0,1992959000000.0,1676654000000.0,1396969000000.0,
General And Administrative Expense,724443000000.0,714243000000.0,622200000000.0,664061000000.0,
Rent And Landing Fees,70632000000.0,66932000000.0,72077000000.0,64872000000.0,
Gross Profit,32689651000000.0,33146575000000.0,30143902000000.0,25602945000000.0,
Cost Of Revenue,23828490000000.0,22740295000000.0,21084880000000.0,21149374000000.0,
Total Revenue,56518141000000.0,55886870000000.0,51228782000000.0,46752319000000.0,
Operating Revenue,56518141000000.0,55886870000000.0,51228782000000.0,46752319000000.0,
