,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,15517965187.638315,-2016803307.753844,3889308937.444302,3426078150.261078,
Tax Rate For Calcs,0.216408,0.230465,0.229556,0.226247,
Normalized EBITDA,5107971000000.0,4610755000000.0,4005902858860.0,4818754442197.0,
Total Unusual Items,71707000000.0,-8751000000.0,16942766257.0,15143065955.0,
Total Unusual Items Excluding Goodwill,71707000000.0,-8751000000.0,16942766257.0,15143065955.0,
Net Income From Continuing Operation Net Minority Interest,3664998000000.0,3240637000000.0,2766748040055.0,3382209769015.0,
Reconciled Depreciation,365956000000.0,326810000000.0,333650214554.0,333774703206.0,
Reconciled Cost Of Revenue,21269024000000.0,19670736000000.0,18625888544234.0,17230235543171.0,
EBITDA,5179678000000.0,4602004000000.0,4022845625117.0,4833897508152.0,
EBIT,4813722000000.0,4275194000000.0,3689195410563.0,4500122804946.0,
Net Interest Income,128403000000.0,109867000000.0,-6886246379.0,26768042324.0,
Interest Expense,35247000000.0,56319000000.0,82958206753.0,41225899596.0,
Interest Income,179197000000.0,179101000000.0,88217597467.0,81827367738.0,
Normalized Income,3608808965187.638,3247371196692.246,2753694582735.4443,3370492781210.261,
Net Income From Continuing And Discontinued Operation,3664998000000.0,3240637000000.0,2766748040055.0,3382209769015.0,
Total Expenses,30779527000000.0,28560330000000.0,26823997048594.0,24708848284046.0,
Rent Expense Supplemental,105034000000.0,111285000000.0,98288702769.0,96661221161.0,
Diluted Average Shares,45524407934.0,46186866647.0,46255641410.0,46515940526.0,
Basic Average Shares,45524407934.0,46186866647.0,46255641410.0,46515940526.0,
Diluted EPS,80.51,70.16,59.81,72.71,
Basic EPS,80.51,70.16,59.81,72.71,
Diluted NI Availto Com Stockholders,3664998000000.0,3240637000000.0,2766748040055.0,3382209769015.0,
Net Income Common Stockholders,3664998000000.0,3240637000000.0,2766748040055.0,3382209769015.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,3664998000000.0,3240637000000.0,2766748040055.0,3382209769015.0,
Minority Interests,-79377000000.0,-5933000000.0,-11656779446.0,-67873643276.0,
Net Income Including Noncontrolling Interests,3744375000000.0,3246570000000.0,2778404819501.0,3450083412291.0,
Net Income Continuous Operations,3744375000000.0,3246570000000.0,2778404819501.0,3450083412291.0,
Tax Provision,1034100000000.0,972305000000.0,827832384309.0,1008813493059.0,
Pretax Income,4778475000000.0,4218875000000.0,3606237203810.0,4458896905350.0,
Special Income Charges,71707000000.0,-8751000000.0,16942766257.0,3037827298.0,
Other Special Charges,-71707000000.0,8751000000.0,-16942766257.0,-3037827298.0,
Write Off,,,,7213633002.0,2463730610.0
Net Non Operating Interest Income Expense,128403000000.0,109867000000.0,-6886246379.0,26768042324.0,
Total Other Finance Cost,15547000000.0,12915000000.0,12145637093.0,13833425818.0,
Interest Expense Non Operating,35247000000.0,56319000000.0,82958206753.0,41225899596.0,
Interest Income Non Operating,179197000000.0,179101000000.0,88217597467.0,81827367738.0,
Operating Income,4545017000000.0,4067446000000.0,3625137029024.0,4224654362673.0,
Operating Expense,9510503000000.0,8889594000000.0,8198108504360.0,7478612740875.0,
Other Operating Expenses,642860000000.0,761645000000.0,636869487985.0,407288264462.0,
Depreciation And Amortization In Income Statement,365956000000.0,326810000000.0,333650214554.0,333774703206.0,
Amortization,49017000000.0,21795000000.0,21316182550.0,26127241776.0,
Depreciation Income Statement,316939000000.0,305015000000.0,312334032004.0,307647461430.0,
Research And Development,499711000000.0,471600000000.0,329621039815.0,293319833903.0,
Selling General And Administration,5445750000000.0,4788796000000.0,4449854319463.0,4227603537917.0,
Selling And Marketing Expense,4852733000000.0,4219839000000.0,3890086345008.0,3744158145613.0,
General And Administrative Expense,593017000000.0,568957000000.0,559767974455.0,483445392304.0,
Rent And Landing Fees,105034000000.0,111285000000.0,98288702769.0,96661221161.0,
Gross Profit,14055520000000.0,12957040000000.0,11823245533384.0,11703267103548.0,
Cost Of Revenue,21269024000000.0,19670736000000.0,18625888544234.0,17230235543171.0,
Total Revenue,35324544000000.0,32627776000000.0,30449134077618.0,28933502646719.0,
Operating Revenue,35324544000000.0,32627776000000.0,30449134077618.0,28933502646719.0,
