,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-25356724.36,7024140.64,18025271.66,-1617684.2
Tax Rate For Calcs,0.22,0.22,0.22,0.22
Normalized EBITDA,851489263.0,954184971.0,931697828.0,1318660223.0
Total Unusual Items,-115257838.0,31927912.0,81933053.0,-7353110.0
Total Unusual Items Excluding Goodwill,-115257838.0,31927912.0,81933053.0,-7353110.0
Net Income From Continuing Operation Net Minority Interest,100815458.0,368862409.0,373093710.0,517609686.0
Reconciled Depreciation,7987490.0,7729735.0,9775067.0,5773095.0
Reconciled Cost Of Revenue,1458925049.0,1465722766.0,1215676557.0,1066156558.0
EBITDA,736231425.0,986112883.0,1013630881.0,1311307113.0
EBIT,728243935.0,978383148.0,1003855814.0,1305534018.0
Net Interest Income,-290144958.0,-221464312.0,-226507862.0,-219808740.0
Interest Expense,324239414.0,307332759.0,276002382.0,259424691.0
Interest Income,34094456.0,85868447.0,49494520.0,39615951.0
Normalized Income,190716571.64,343958637.64,309185928.66,523345111.8
Net Income From Continuing And Discontinued Operation,100923998.0,367358268.0,330675261.0,530882675.0
Total Expenses,1700696605.0,1683392918.0,1457046270.0,1324032470.0
Rent Expense Supplemental,10440718.0,9967527.0,11322315.0,12532033.0
Diluted Average Shares,24761620035.0,25053803009.0,25040773473.0,25002151142.0
Basic Average Shares,24761620035.0,25053803009.0,25040773473.0,25002151142.0
Diluted EPS,0.00408,0.01466,0.01321,0.02123
Basic EPS,0.00408,0.01466,0.01321,0.02123
Diluted NI Availto Com Stockholders,100923998.0,367358268.0,330675261.0,530882675.0
Net Income Common Stockholders,100923998.0,367358268.0,330675261.0,530882675.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,100923998.0,367358268.0,330675261.0,530882675.0
Minority Interests,-12620168.0,-12848247.0,-15093342.0,-20527663.0
Net Income Including Noncontrolling Interests,113544166.0,380206515.0,345768603.0,551410338.0
Net Income Discontinuous Operations,108540.0,-1504141.0,-42418449.0,13272989.0
Net Income Continuous Operations,113435626.0,381710656.0,388187052.0,538137349.0
Tax Provision,290568895.0,289339733.0,339666380.0,507971978.0
Pretax Income,404004521.0,671050389.0,727853432.0,1046109327.0
Other Non Operating Income Expenses,9267908.0,5157095.0,12978576.0,10694397.0
Special Income Charges,-135473100.0,1696679.0,-64517986.0,37093992.0
Other Special Charges,-1572580.0,-2346262.0,-2763582.0,-2673923.0
Write Off,8260552.0,7339925.0,43820134.0,12305457.0
Impairment Of Capital Assets,128785128.0,29455169.0,59635411.0,2257443.0
Restructuring And Mergern Acquisition,0.0,-36145511.0,-36173977.0,-48982969.0
Net Non Operating Interest Income Expense,-290144958.0,-221464312.0,-226507862.0,-219808740.0
Interest Expense Non Operating,324239414.0,307332759.0,276002382.0,259424691.0
Interest Income Non Operating,34094456.0,85868447.0,49494520.0,39615951.0
Operating Income,694339364.0,715797637.0,792291308.0,988195132.0
Operating Expense,241771556.0,217670152.0,241369713.0,257875912.0
Other Operating Expenses,19856369.0,853665.0,4572647.0,36778630.0
Depreciation And Amortization In Income Statement,7987490.0,7729735.0,9775067.0,5773095.0
Depreciation Income Statement,7987490.0,7729735.0,9775067.0,5773095.0
Research And Development,2806217.0,5215944.0,0.0,7571513.0
Selling General And Administration,65164399.0,62714899.0,85149935.0,81247089.0
Selling And Marketing Expense,11695030.0,10322509.0,10989627.0,9343746.0
General And Administrative Expense,53469369.0,52392390.0,74160308.0,71903343.0
Rent And Landing Fees,10440718.0,9967527.0,11322315.0,12532033.0
Gross Profit,936110920.0,933467789.0,1033661021.0,1246071044.0
Cost Of Revenue,1458925049.0,1465722766.0,1215676557.0,1066156558.0
Total Revenue,2395035969.0,2399190555.0,2249337578.0,2312227602.0
Operating Revenue,2395035969.0,2399190555.0,2249337578.0,2312227602.0
