,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.215724,0.178907,0.22832,0.211259,
Normalized EBITDA,4295996000000.0,6732543000000.0,8582028000000.0,16608928000000.0,
Total Unusual Items,-53824000000.0,0.0,,57309000000.0,0.0
Total Unusual Items Excluding Goodwill,-53824000000.0,0.0,,57309000000.0,0.0
Net Income From Continuing Operation Net Minority Interest,2929957000000.0,5103720000000.0,6105856000000.0,12567582000000.0,
Reconciled Depreciation,300136000000.0,299008000000.0,311751000000.0,266152000000.0,
Reconciled Cost Of Revenue,36394624000000.0,34562758000000.0,29331562000000.0,24682304000000.0,
EBITDA,4295996000000.0,6732543000000.0,8582028000000.0,16608928000000.0,
EBIT,3995860000000.0,6433535000000.0,8270277000000.0,16342776000000.0,
Net Interest Income,-3149000000.0,75894000000.0,468375000000.0,287571000000.0,
Interest Expense,222651000000.0,174289000000.0,115964000000.0,140462000000.0,
Interest Income,219502000000.0,250183000000.0,584339000000.0,428033000000.0,
Normalized Income,2929957000000.0,5103720000000.0,6105856000000.0,12567582000000.0,
Net Income From Continuing And Discontinued Operation,2929957000000.0,5103720000000.0,6105856000000.0,12567582000000.0,
Total Expenses,39704397000000.0,37539364000000.0,31757508000000.0,28085501000000.0,
Rent Expense Supplemental,398495000000.0,761618000000.0,794525000000.0,905611000000.0,
Total Operating Income As Reported,3208073000000.0,5652418000000.0,7202709000000.0,15145421000000.0,
Diluted Average Shares,11520659250.0,11507459013.0,11487209350.0,11487209350.0,
Basic Average Shares,11520659250.0,11507459013.0,11487209350.0,11487209350.0,
Diluted EPS,254.0,444.0,532.0,1094.0,
Basic EPS,254.0,444.0,532.0,1094.0,
Diluted NI Availto Com Stockholders,2929957000000.0,5103720000000.0,6105856000000.0,12567582000000.0,
Net Income Common Stockholders,2929957000000.0,5103720000000.0,6105856000000.0,12567582000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,2929957000000.0,5103720000000.0,6105856000000.0,12567582000000.0,
Minority Interests,-29279000000.0,-35703000000.0,-186665000000.0,-211845000000.0,
Net Income Including Noncontrolling Interests,2959236000000.0,5139423000000.0,6292521000000.0,12779427000000.0,
Net Income Continuous Operations,2959236000000.0,5139423000000.0,6292521000000.0,12779427000000.0,
Tax Provision,813973000000.0,1119823000000.0,1861792000000.0,3422887000000.0,
Pretax Income,3773209000000.0,6259246000000.0,8154313000000.0,16202314000000.0,
Other Non Operating Income Expenses,68901000000.0,195925000000.0,446482000000.0,313276000000.0,
Special Income Charges,-53824000000.0,0.0,,57309000000.0,0.0
Other Special Charges,,,,-57309000000.0,
Write Off,53824000000.0,0.0,,,
Net Non Operating Interest Income Expense,-3149000000.0,75894000000.0,468375000000.0,287571000000.0,
Total Other Finance Cost,,,,,47338000000.0
Interest Expense Non Operating,222651000000.0,174289000000.0,115964000000.0,140462000000.0,
Interest Income Non Operating,219502000000.0,250183000000.0,584339000000.0,428033000000.0,
Operating Income,2947327000000.0,5225604000000.0,6731359000000.0,14563089000000.0,
Operating Expense,3309773000000.0,2976606000000.0,2425946000000.0,3403197000000.0,
Other Operating Expenses,157101000000.0,109401000000.0,-167051000000.0,59741000000.0,
Depreciation And Amortization In Income Statement,300136000000.0,299008000000.0,311751000000.0,266152000000.0,
Depreciation Income Statement,300136000000.0,299008000000.0,311751000000.0,266152000000.0,
Selling General And Administration,1531209000000.0,1545316000000.0,1172976000000.0,1438218000000.0,
Selling And Marketing Expense,374757000000.0,369949000000.0,232633000000.0,471185000000.0,
General And Administrative Expense,1156452000000.0,1175367000000.0,940343000000.0,967033000000.0,
Rent And Landing Fees,38560000000.0,54940000000.0,39805000000.0,41863000000.0,
Gross Profit,6257100000000.0,8202210000000.0,9157305000000.0,17966286000000.0,
Cost Of Revenue,36394624000000.0,34562758000000.0,29331562000000.0,24682304000000.0,
Total Revenue,42651724000000.0,42764968000000.0,38488867000000.0,42648590000000.0,
Operating Revenue,42651724000000.0,42764968000000.0,38488867000000.0,42648590000000.0,
