,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-13292536628.535843,70113875598.08612,-169477259378.43152,-1478046115838.5945,
Tax Rate For Calcs,0.214396,0.216401,0.21617,0.239089,
Normalized EBITDA,73432000000000.0,76651000000000.0,78900000000000.0,79818000000000.0,
Total Unusual Items,-62000000000.0,324000000000.0,-784000000000.0,-6182000000000.0,
Total Unusual Items Excluding Goodwill,-62000000000.0,324000000000.0,-784000000000.0,-6182000000000.0,
Net Income From Continuing Operation Net Minority Interest,17486000000000.0,22365000000000.0,23053000000000.0,20736000000000.0,
Reconciled Depreciation,37653000000000.0,34134000000000.0,34265000000000.0,33129000000000.0,
Reconciled Cost Of Revenue,48252000000000.0,48082000000000.0,46081000000000.0,43624000000000.0,
EBITDA,73370000000000.0,76975000000000.0,78116000000000.0,73636000000000.0,
EBIT,35717000000000.0,42841000000000.0,43851000000000.0,40507000000000.0,
Net Interest Income,-3547000000000.0,-3854000000000.0,-3631000000000.0,-3199000000000.0,
Interest Expense,5208000000000.0,5221000000000.0,4692000000000.0,4077000000000.0,
Interest Income,1661000000000.0,1367000000000.0,1061000000000.0,878000000000.0,
Normalized Income,17534707463371.465,22111113875598.086,23667522740621.57,25439953884161.406,
Net Income From Continuing And Discontinued Operation,17486000000000.0,22365000000000.0,23053000000000.0,20736000000000.0,
Total Expenses,112623000000000.0,108820000000000.0,105643000000000.0,101408000000000.0,
Rent Expense Supplemental,4638000000000.0,3693000000000.0,3770000000000.0,3873000000000.0,
Total Operating Income As Reported,34057000000000.0,41471000000000.0,42789000000000.0,39716000000000.0,
Diluted Average Shares,99061024659.0,99062216600.0,99062216600.0,99062216599.0,
Basic Average Shares,99061024659.0,99062216600.0,99062216600.0,99062216599.0,
Diluted EPS,179.83,238.73,247.92,209.49,
Basic EPS,179.83,238.73,247.92,209.49,
Diluted NI Availto Com Stockholders,17486000000000.0,22365000000000.0,23053000000000.0,20736000000000.0,
Net Income Common Stockholders,17486000000000.0,22365000000000.0,23053000000000.0,20736000000000.0,
Net Income,17486000000000.0,22365000000000.0,23053000000000.0,20736000000000.0,
Minority Interests,-6482000000000.0,-7114000000000.0,-7641000000000.0,-6984000000000.0,
Net Income Including Noncontrolling Interests,23968000000000.0,29479000000000.0,30694000000000.0,27720000000000.0,
Net Income Continuous Operations,23968000000000.0,29479000000000.0,30694000000000.0,27720000000000.0,
Tax Provision,6541000000000.0,8141000000000.0,8465000000000.0,8710000000000.0,
Pretax Income,30509000000000.0,37620000000000.0,39159000000000.0,36430000000000.0,
Other Income Expense,-63000000000.0,327000000000.0,-783000000000.0,-6269000000000.0,
Other Non Operating Income Expenses,,,,,162000000000.0
Special Income Charges,,,,0.0,0.0
Write Off,,,,0.0,0.0
Earnings From Equity Interest,-1000000000.0,3000000000.0,1000000000.0,-87000000000.0,
Gain On Sale Of Security,-62000000000.0,324000000000.0,-784000000000.0,-6182000000000.0,
Net Non Operating Interest Income Expense,-3547000000000.0,-3854000000000.0,-3631000000000.0,-3199000000000.0,
Interest Expense Non Operating,5208000000000.0,5221000000000.0,4692000000000.0,4077000000000.0,
Interest Income Non Operating,1661000000000.0,1367000000000.0,1061000000000.0,878000000000.0,
Operating Income,34119000000000.0,41147000000000.0,43573000000000.0,45898000000000.0,
Operating Expense,64371000000000.0,60738000000000.0,59562000000000.0,57784000000000.0,
Other Operating Expenses,468000000000.0,-252000000000.0,-259000000000.0,-35000000000.0,
Provision For Doubtful Accounts,1465000000000.0,904000000000.0,513000000000.0,563000000000.0,
Depreciation Amortization Depletion Income Statement,37653000000000.0,34134000000000.0,34265000000000.0,33129000000000.0,
Depreciation And Amortization In Income Statement,37653000000000.0,34134000000000.0,34265000000000.0,33129000000000.0,
Research And Development,,,,108000000000.0,82000000000.0
Selling General And Administration,24785000000000.0,25952000000000.0,25043000000000.0,24690000000000.0,
Selling And Marketing Expense,3287000000000.0,3824000000000.0,3530000000000.0,3929000000000.0,
General And Administrative Expense,21498000000000.0,22128000000000.0,21513000000000.0,20761000000000.0,
Other Gand A,4778000000000.0,4868000000000.0,5125000000000.0,5854000000000.0,
Salaries And Wages,16720000000000.0,17260000000000.0,16388000000000.0,14907000000000.0,
Gross Profit,98490000000000.0,101885000000000.0,103135000000000.0,103682000000000.0,
Cost Of Revenue,48252000000000.0,48082000000000.0,46081000000000.0,43624000000000.0,
Total Revenue,146742000000000.0,149967000000000.0,149216000000000.0,147306000000000.0,
Operating Revenue,139790000000000.0,142734000000000.0,143033000000000.0,141472000000000.0,
