,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,244357228715.87576,874686823.812996,-61383770619.84642,-46420566315.17969
Tax Rate For Calcs,0.248011,0.223134,0.229463,0.219125
Normalized EBITDA,20496710000000.0,27321352000000.0,29223693000000.0,29944613000000.0
Total Unusual Items,985267000000.0,3920000000.0,67831000000.0,-211845000000.0
Total Unusual Items Excluding Goodwill,985267000000.0,3920000000.0,-267511000000.0,-211845000000.0
Net Income From Continuing Operation Net Minority Interest,14810434000000.0,19531205000000.0,20611775000000.0,21005105000000.0
Reconciled Cost Of Revenue,101597306000000.0,100595438000000.0,92797027000000.0,88848772000000.0
EBITDA,21481977000000.0,27325272000000.0,29291524000000.0,29732768000000.0
EBIT,21481977000000.0,27325272000000.0,29291524000000.0,29732768000000.0
Net Interest Income,-1381329000000.0,-1500425000000.0,-752417000000.0,238213000000.0
Interest Expense,1299810000000.0,1428220000000.0,571184000000.0,286727000000.0
Interest Income,1244489000000.0,1150154000000.0,1125314000000.0,914707000000.0
Normalized Income,14069524228715.875,19528159686823.812,21153244229380.152,21170529433684.82
Net Income From Continuing And Discontinued Operation,14810434000000.0,19531205000000.0,20611775000000.0,21005105000000.0
Total Expenses,109235512000000.0,107245468000000.0,98860121000000.0,94474744000000.0
Rent Expense Supplemental,,,1338253000000.0,955318000000.0
Diluted Average Shares,3628063000.0,3631809000.0,3631809000.0,3698414000.0
Basic Average Shares,3628063000.0,3631809000.0,3631809000.0,3698414000.0
Diluted EPS,4082.0,5378.0,5675.0,5679.0
Basic EPS,4082.0,5378.0,5675.0,5679.0
Diluted NI Availto Com Stockholders,14810434000000.0,19531205000000.0,20611775000000.0,21005105000000.0
Net Income Common Stockholders,14810434000000.0,19531205000000.0,20611775000000.0,21005105000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,14810434000000.0,19531205000000.0,20611775000000.0,21005105000000.0
Minority Interests,-366330000000.0,-587324000000.0,-1518321000000.0,-1988568000000.0
Net Income Including Noncontrolling Interests,15176764000000.0,20118529000000.0,22130096000000.0,22993673000000.0
Net Income Continuous Operations,15176764000000.0,20118529000000.0,22130096000000.0,22993673000000.0
Tax Provision,5005403000000.0,5778523000000.0,6590244000000.0,6452368000000.0
Pretax Income,20182167000000.0,25897052000000.0,28720340000000.0,29446041000000.0
Other Non Operating Income Expenses,-1200683000000.0,23179000000.0,-319302000000.0,-518397000000.0
Special Income Charges,665170000000.0,-127386000000.0,-396272000000.0,-561900000000.0
Other Special Charges,-840830000000.0,-313491000000.0,-106935000000.0,-122647000000.0
Write Off,165660000000.0,300885000000.0,167865000000.0,0.0
Impairment Of Capital Assets,10000000000.0,139992000000.0,0.0,684547000000.0
Net Non Operating Interest Income Expense,-1381329000000.0,-1500425000000.0,-752417000000.0,238213000000.0
Total Other Finance Cost,1326008000000.0,1222359000000.0,1306547000000.0,389767000000.0
Interest Expense Non Operating,1299810000000.0,1428220000000.0,571184000000.0,286727000000.0
Interest Income Non Operating,1244489000000.0,1150154000000.0,1125314000000.0,914707000000.0
Operating Income,22065298000000.0,27181530000000.0,29723143000000.0,29132716000000.0
Operating Expense,7638206000000.0,6650030000000.0,6063094000000.0,5625972000000.0
Selling General And Administration,7638206000000.0,6650030000000.0,6063094000000.0,5625972000000.0
Selling And Marketing Expense,1597792000000.0,1056442000000.0,1321419000000.0,1064580000000.0
General And Administrative Expense,6040414000000.0,5593588000000.0,4741675000000.0,4561392000000.0
Gross Profit,29703504000000.0,33831560000000.0,35786237000000.0,34758688000000.0
Cost Of Revenue,101597306000000.0,100595438000000.0,92797027000000.0,88848772000000.0
Total Revenue,131300810000000.0,134426998000000.0,128583264000000.0,123607460000000.0
Operating Revenue,131300810000000.0,134426998000000.0,128583264000000.0,123607460000000.0
