,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.213633,0.225663,0.225889,0.232926
Normalized EBITDA,4866625000000.0,4038112000000.0,6690717000000.0,7504564000000.0
Net Income From Continuing Operation Net Minority Interest,3537297000000.0,2904648000000.0,4800940000000.0,5364761000000.0
Reconciled Depreciation,250157000000.0,214694000000.0,382871000000.0,425550000000.0
Reconciled Cost Of Revenue,16946367000000.0,16062942000000.0,19416887000000.0,22153944000000.0
EBITDA,4866625000000.0,4038112000000.0,6690717000000.0,7504564000000.0
EBIT,4616468000000.0,3823418000000.0,6307846000000.0,7079014000000.0
Net Interest Income,-93741000000.0,-56173000000.0,-77407000000.0,-75005000000.0
Interest Expense,118188000000.0,72274000000.0,105970000000.0,85211000000.0
Interest Income,24447000000.0,16101000000.0,28563000000.0,10206000000.0
Normalized Income,3537297000000.0,2904648000000.0,4800940000000.0,5364761000000.0
Net Income From Continuing And Discontinued Operation,7641161000000.0,3368693000000.0,4800940000000.0,5364761000000.0
Total Expenses,27351440000000.0,26815297000000.0,32332118000000.0,34150073000000.0
Rent Expense Supplemental,34352000000.0,66670000000.0,47350000000.0,37779000000.0
Total Operating Income As Reported,4592021000000.0,3807317000000.0,6279283000000.0,7068808000000.0
Diluted Average Shares,38087000000.0,38150000000.0,38150000000.0,38150000000.0
Basic Average Shares,38087000000.0,38150000000.0,38150000000.0,38150000000.0
Diluted EPS,201.0,88.0,126.0,141.0
Basic EPS,201.0,88.0,126.0,141.0
Diluted NI Availto Com Stockholders,7641161000000.0,3368693000000.0,4800940000000.0,5364761000000.0
Net Income Common Stockholders,7641161000000.0,3368693000000.0,4800940000000.0,5364761000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,7641161000000.0,3368693000000.0,4800940000000.0,5364761000000.0
Net Income Including Noncontrolling Interests,7641161000000.0,3368693000000.0,4800940000000.0,5364761000000.0
Net Income Discontinuous Operations,4103864000000.0,464045000000.0,,
Net Income Continuous Operations,3537297000000.0,2904648000000.0,4800940000000.0,5364761000000.0
Tax Provision,960983000000.0,846496000000.0,1400936000000.0,1629042000000.0
Pretax Income,4498280000000.0,3751144000000.0,6201876000000.0,6993803000000.0
Net Non Operating Interest Income Expense,-93741000000.0,-56173000000.0,-77407000000.0,-75005000000.0
Interest Expense Non Operating,118188000000.0,72274000000.0,105970000000.0,85211000000.0
Interest Income Non Operating,24447000000.0,16101000000.0,28563000000.0,10206000000.0
Operating Income,4592021000000.0,3807317000000.0,6279283000000.0,7068808000000.0
Operating Expense,10405073000000.0,10752355000000.0,12915231000000.0,11996129000000.0
Other Operating Expenses,44683000000.0,17504000000.0,-75000000.0,973000000.0
Depreciation And Amortization In Income Statement,250157000000.0,214694000000.0,382871000000.0,425550000000.0
Amortization,2929000000.0,12843000000.0,47591000000.0,47384000000.0
Depreciation Income Statement,247228000000.0,201851000000.0,335280000000.0,378166000000.0
Selling General And Administration,8905954000000.0,8890491000000.0,11008501000000.0,10366668000000.0
Selling And Marketing Expense,6148690000000.0,6045009000000.0,7310801000000.0,6935911000000.0
General And Administrative Expense,2757264000000.0,2845482000000.0,3697700000000.0,3430757000000.0
Rent And Landing Fees,34352000000.0,66670000000.0,47350000000.0,37779000000.0
Gross Profit,14997094000000.0,14559672000000.0,19194514000000.0,19064937000000.0
Cost Of Revenue,16946367000000.0,16062942000000.0,19416887000000.0,22153944000000.0
Total Revenue,31943461000000.0,30622614000000.0,38611401000000.0,41218881000000.0
Operating Revenue,31943461000000.0,30622614000000.0,38611401000000.0,41218881000000.0
