Ticker,PE_Ratio,PB_Ratio,ROE,Profit_Margin,Dividend_Yield,Market_Cap,Earnings_Growth
AADI.JK,6.6200166,2.8271026999999997,0.23297001,0.15923001,8.09,94221390315520,0.421
ACES.JK,7.7974453,0.93617594,0.121199995,0.086,9.09,5957895585792,0.499
ADMR.JK,11.909248,4.157895,0.17246,0.27397,3.22,64594085150720,0.153
ADRO.JK,7.4457026,1.65625,0.123380005,0.28888,8.86,76321308803072,0.891
AKRA.JK,10.56338,2.2231696,0.19524999,0.04912,6.8,28808663007232,0.253
AMMN.JK,32.35952,6.0921055,0.10484,0.20658001,,335269475647488,
AMRT.JK,15.292477,3.0355844,0.20027,0.027139999,3.13,54035759497216,0.056
ANTM.JK,8.857444,2.1148615,0.26827,0.100760005,6.4,78820912660480,0.162
ASII.JK,6.5684547,0.8432789,0.11983,0.09354,7.96,194011507720192,-0.212
AUTO.JK,6.726681,1.0157453,0.15295,0.11416,6.9,16242499911680,0.367
BBCA.JK,13.246858,2.838958,0.21818,0.53118,6.0,767760971857920,0.004
BBNI.JK,6.5763392,0.8273155,0.1245,0.39862,9.34,135987313246208,0.082
BBRI.JK,8.011206,1.5259244,0.18988001,0.41705,12.55,491230442029056,0.214
BJBR.JK,5.7605367,0.51415086,0.0938,0.15541,10.76,8311940317184,2.943
BJTM.JK,5.030663,0.6049112,0.11266,0.19872,10.89,7883136172032,-0.167
BMRI.JK,6.3990173,1.4003603,0.22378999,0.43377998,12.48,396996141645824,0.336
BREN.JK,151.00836,61.4,0.21476999,0.24059999,13.0,410703127117824,0.412
BRIS.JK,9.332562,1.4595968,0.16148001,0.31524,1.99,74498749497344,0.05
BRPT.JK,60.218292,6.153846,0.0646,0.01392,10.0,149938784698368,-0.809
CPIN.JK,6.916909,1.4754696,0.22792,0.0967,5.77,51489720500224,2.111
CUAN.JK,40.843212,31.0,0.26372,0.10231,4.0,104531249594368,
EMTK.JK,13.006803,0.7984712,0.07585,0.10618,2.02,29245237624832,-0.974
ESSA.JK,11.572303,2.42,0.14062001,0.16173,8.52,10422320103424,0.702
EXCL.JK,,1.5883031,-0.13436,-0.088649996,6.16,45863657275392,
GOTO.JK,,1.6453322,-0.011569999,8.9999994e-05,,53304621006848,
HEAL.JK,25.47279,1.8246258,0.07281,0.0541,1.99,10062161510400,-0.135
HEXA.JK,13.607932,2.0247523000000003,0.0805,0.027679998,10.36,3435600019456,-0.287
HRUM.JK,15.014259,1.2260274,0.07237,0.02491,,11767957684224,0.145
ICBP.JK,10.897891,1.5249809,0.12555,0.093430005,3.81,80467168591872,-0.608
INDF.JK,6.468602,0.80747217,0.12137,0.07409,4.04,61902004682752,-0.433
INDY.JK,55.465584,1.1861472,0.03069,0.00629,37.0,14255376039936,
INKP.JK,3.9927623,0.6577946299999999,0.09631,0.20011,86.0,47324004876288,8.165
ISAT.JK,10.171536,2.0543106,0.20238,0.124589995,4.68,76111912370176,1.751
ITMG.JK,7.8715553,1.5351131,0.111190006,0.10496,6.53,29489079779328,1.004
KLBF.JK,9.486116,1.4041992,0.14768,0.09568,2.58,34162889195520,-0.004
MBMA.JK,51.757812,3.5333336,0.07353,0.04133,,57237573730304,
MDKA.JK,1680.2325,8.257143,0.04484,-0.00043000001,43.0,70564844666880,
MEDC.JK,13.772955,1.6685393,0.06968,0.061529998,4.23,36650721738752,2.878
MIKA.JK,17.023586,3.2794054,0.18961,0.25281,2.46,23988973600768,0.092
MPMX.JK,8.687177,0.8077621,0.09101,0.0327,16.43,4489319284736,0.497
NRCA.JK,7.599376,1.073972,0.14822,0.053150002,6.56,1460311162880,0.482
PGAS.JK,8.33993,1.2606838,0.10092,0.061890002,8.4,35756223496192,0.458
PGEO.JK,16.87389,2.1770834,0.07514,0.3205,4.69,43805680074752,0.064
POWR.JK,12.540193,2.1666666,0.09866,0.12488,7.26,15455212273664,-0.138
PTBA.JK,7.5490932,1.4195539,0.21109,0.107329994,3.65,35809650540544,3.188
PTRO.JK,103.67762,20.384616,0.12607999,0.028800001,30.0,53456064741376,0.505
SCMA.JK,12.290862,1.9207948,0.13564,0.13875,10.71,12140857524224,0.369
SIDO.JK,10.7361965,3.4396346,0.30396998,0.25887,10.51,10302320017408,-0.493
SMGR.JK,27.743088,0.24051498,0.00438,0.00637,1.91,10473771630592,0.887
SMSM.JK,8.616359,2.4636912,0.28834,0.21077,9.36,9876128399360,0.139
TBIG.JK,22.192804,2.4893003,0.1245,0.20813,3.29,32134624444416,0.089
TLKM.JK,14.310567,2.1243556,0.17683001,0.12007,8.62,251381399158784,0.28
TOWR.JK,6.2665486,0.862439,0.16139999,0.27462,3.12,24798134534144,-0.073
TPIA.JK,129.16962,3.956522,0.03923,0.0119,33.0,157365387132928,-0.893
UNTR.JK,12.079749,0.9506132,0.07437,0.06308,8.53,89248539607040,-0.934
UNVR.JK,16.732986,20.606123,1.3336799,0.25577998,13.9,62289222828032,-0.093
